"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000158595897652781,0.000158583322320603,1e+05,15.8583322320603,99992.070833884,6612915.2458539,0.99992070833884,66.129152458539
26,0.000168498630036836,0.000168484435338567,99984.1416677679,16.8457716517052,99975.7187819421,6512923.17502002,0.984879275309543,65.1395617983247
27,0.000179234804903499,0.00017921874378521,99967.2958961162,17.9160131901063,99958.3378895212,6412947.45623808,0.984649639479029,64.1504543936276
28,0.000188822368947425,0.000188804543686821,99949.3798829261,18.8708970605766,99939.9444343958,6312989.11834855,0.984413042743351,63.1618637928835
29,0.000199813327628699,0.000199793366939956,99930.5089858656,19.9654528503096,99920.5262594404,6213049.17391416,0.984169156233151,62.1736968716225
30,0.00020535344480659,0.000205332361952662,99910.5435330152,20.5148678876083,99900.2860990714,6113128.64765472,0.983917634729343,61.1860213295171
31,0.000211785656842428,0.000211763232634768,99890.0286651276,21.1530353781071,99879.4521474386,6013228.36155565,0.983658075617728,60.198484692746
32,0.000223671199808109,0.000223646188202485,99868.8756297495,22.3352933546615,99857.7079830722,5913348.90940821,0.983390045056995,59.2111293145139
33,0.000245480313906005,0.00024545018731149,99846.5403363949,24.5073520279724,99834.2866603809,5813491.20142514,0.983113171654019,58.2242627720379
34,0.000271619617567901,0.000271582733968732,99822.0329843669,27.1099406282113,99808.4780140528,5713656.91476476,0.982827137222482,57.2384346816456
35,0.000299890253260854,0.000299845292920438,99794.9230437387,29.9230379320224,99779.9615247727,5613848.4367507,0.982531594125623,56.2538480468614
36,0.000334460642893313,0.000334404720284446,99765.0000058067,33.3618869211195,99748.3190623461,5514068.47522593,0.982226103421038,55.2705705899363
37,0.000377755425912675,0.000377684089805572,99731.6381188855,37.66705296775,99712.8045924017,5414320.15616358,0.981910213935408,54.2888922541252
38,0.000421480542828193,0.000421391738618825,99693.9710659178,42.0102157972819,99672.9659580191,5314607.35157118,0.98158350416739,53.309215138568
39,0.000457708648704228,0.000457603924067365,99651.9608501205,45.6011283260226,99629.1602859575,5214934.38561316,0.981245469445913,52.3314778868885
40,0.000479335421185341,0.000479220567489062,99606.3597217945,47.733416231398,99582.4930136788,5115305.22532721,0.980895414415796,51.3552070331102
41,0.0004914744308438,0.00049135368695698,99558.6263055631,48.9184981036106,99534.1670565113,5015722.73231353,0.980532443592883,50.3795895789018
42,0.000502974179968007,0.000502847720258135,99509.7078074595,50.0382297145341,99484.6886926022,4916188.56525702,0.980155568326122,49.4041101474171
43,0.00052755861323502,0.000527419490887417,99459.6695777449,52.456968292525,99433.4410935987,4816703.87656441,0.979763858246678,48.4287138396265
44,0.000566099985723538,0.000565939796468188,99407.2126094524,56.2584976716634,99379.0833606166,4717270.43547082,0.979356538487369,47.4540057169077
45,0.000610157015046721,0.000609970926026976,99350.9541117808,60.6011934812265,99320.6535150401,4617891.3521102,0.978932926420044,46.4805939046601
46,0.000652258894245178,0.000652046242764527,99290.3529182995,64.7419015631411,99257.981967518,4518570.69859516,0.978492206519832,45.5086578482931
