"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00194806837635669,0.00194617273757419,1e+05,194.617273757419,99902.6913631213,4863846.76095799,0.999026913631213,48.6384676095799
26,0.00186680717009373,0.00186506631051315,99805.3827262426,186.143656930586,99712.3108977773,4763944.06959487,0.979460148258568,47.7323360671032
27,0.00181033146869338,0.00180869430058858,99619.239069312,180.180749933636,99529.1486943452,4664231.75869709,0.979069378346783,46.8205921092397
28,0.00179432562923301,0.00179271726996128,99439.0583193784,178.266117157836,99349.9252607994,4564702.61000275,0.978661191415122,45.9045237067897
29,0.00181786114966752,0.00181621034055866,99260.7922022205,180.278477209717,99170.6529636157,4465352.68474195,0.978235181182868,44.9860673652981
30,0.00186530120334743,0.00186356315005428,99080.5137250108,184.642794266377,98988.1923278776,4366182.03177833,0.977791081698321,44.0670104304898
31,0.0019157526232401,0.00191391932525608,98895.8709307444,189.278718562383,98801.2315714632,4267193.83945046,0.977328432115882,43.1483518906337
32,0.00196446002117629,0.00196253236299261,98706.592212182,193.714881657122,98609.7347713535,4168392.60787899,0.976846322129068,42.2301339197135
33,0.00202848793606541,0.0020264326389847,98512.8773305249,199.629709982871,98413.0624755335,4069782.87310764,0.976343462805072,41.3121916990906
34,0.00212192900502727,0.00211968009968482,98313.247620542,208.392634516649,98209.0513032837,3971369.81063211,0.975818596336962,40.3950627890997
35,0.00223754291703197,0.00223504241536908,98104.8549860254,219.268512047399,97995.2207300017,3873160.75932882,0.975270736298503,39.4798071907913
36,0.00235482419766381,0.00235205485981474,97885.586473978,230.232269371936,97770.470339292,3775165.53859882,0.974698901796428,38.5671238696865
37,0.00246743555985234,0.00246439519168759,97655.354204606,240.66138534438,97535.0235119339,3677395.06825953,0.974101673333355,37.6568709233772
38,0.00260453154759331,0.00260114416657247,97414.6928192617,253.389659965272,97287.997989279,3579860.04474759,0.973477143004356,36.7486663576457
39,0.00276798350943547,0.00276415793764103,97161.3031592964,268.569187359316,97027.0185656167,3482572.04675831,0.97282351913952,35.8432002609992
40,0.00296179241823345,0.00295741279683383,96892.7339719371,286.551811368822,96749.4580662527,3385545.0281927,0.972139264525501,34.9411652392144
41,0.00314494399784042,0.00314000642565964,96606.1821605683,303.34403274263,96454.5101441969,3288795.57012645,0.971422782074796,34.0433241079765
42,0.00337904012372762,0.00337334079677596,96302.8381278256,324.862292701906,96140.4069814747,3192341.05998225,0.970671783001554,33.1489821280756
43,0.00366331072713243,0.00365661307218628,95977.9758351237,350.954321080692,95802.4986745834,3096200.65300077,0.969884042721297,32.2594910557355
44,0.00401154618241465,0.00400351603767607,95627.021514043,382.844314266665,95435.5993569097,3000398.15432619,0.969058045840235,31.3760494347884
45,0.00430498161325736,0.00429573508298352,95244.1771997764,409.143753446979,95039.6053230529,2904962.55496928,0.968192354998185,30.5001590687908
46,0.00456072060890538,0.00455034418465509,94835.0334463294,431.532042944076,94619.2674248574,2809922.94964623,0.967283707268282,29.6295877961225
47,0.00482880244866417,0.00481717186302027,94403.5014033853,454.757890730983,94176.1224580198,2715303.68222137,0.966326739515484,28.7627433501529
48,0.00524559421239053,0.00523187207345628,93948.7435126543,491.527807520163,93702.9796088943,2621127.55976335,0.9653165415439,27.8995488578333
49,0.00576890925580822,0.005752316958536,93457.2157051342,537.5955267982,93188.4179417351,2527424.58015446,0.964250889179406,27.0436537305873
50,0.00634965225529188,0.00632955701231277,92919.620178336,588.140033481225,92625.5501615954,2434236.16221272,0.963129100399886,26.1972246285641
51,0.00688668716444742,0.00686305530700161,92331.4801448548,633.676054811459,92014.642117449,2341610.61205113,0.961948823372421,25.3609127502069
52,0.00752124905056385,0.00749307042614961,91697.8040900433,687.098103969964,91354.2550380583,2249595.96993368,0.960704550259597,24.5327136484607
53,0.00826698956049557,0.00823295866881204,91010.7059860733,749.287380802746,90636.062295672,2158241.71489562,0.959390816724858,23.7141519946662
54,0.00919371771964899,0.00915164888140649,90261.4186052706,826.040810613087,89848.398199964,2067605.65259995,0.958004674976799,22.9068597031691
55,0.0100946332709848,0.010043938333946,89435.3777946575,898.283419442705,88986.2360849361,1977757.25439998,0.956544712437315,22.113813383121
56,0.0110133230054919,0.0109530084952717,88537.0943752148,969.7475468384,88052.2206017956,1888771.01831505,0.955006492385774,21.3331037306301
57,0.0119375262704837,0.0118666967682761,87567.3468283764,1039.13515161481,87047.779252569,1800718.79771325,0.953381209395967,20.5638158849609
58,0.0130994135687549,0.0130141745414675,86528.2116767616,1126.09324952243,85965.1650520004,1713671.01846068,0.951659426578369,19.8047663906697
59,0.0144152235940195,0.0143120677655529,85402.1184272392,1222.28090625242,84790.977974113,1627705.85340868,0.949835666165832,19.059314726431
60,0.0159231542987848,0.0157973822214701,84179.8375209868,1329.82106866028,83514.9269866566,1542914.87543457,0.947907677670049,18.3287936977772
61,0.0173887592250328,0.0172388778766791,82850.0164523265,1428.24131570251,82135.8957944752,1459399.94844791,0.945871980161489,17.6149626872757
62,0.0188618894181883,0.0186856659358943,81421.775136624,1521.42009011046,80661.0650915687,1377264.05265344,0.943719406128644,16.9151808633798
63,0.0202933516677137,0.0200895099228654,79900.3550465135,1605.1589755474,79097.7755587398,1296602.98756187,0.941433841291242,16.2277500119625
64,0.0218779862140253,0.0216412526999139,78295.1960709661,1694.40612336108,77447.9930092856,1217505.21200313,0.938996148923368,15.5501904727283
65,0.0239225383727438,0.023639776640837,76600.789947605,1810.82556487306,75695.3771651685,1140057.21899384,0.936387957730495,14.8831000277366
66,0.0266227724556797,0.0262730418482574,74789.964382732,1964.9598640572,73807.4844507034,1064361.84182867,0.933603878907084,14.2313457509069
67,0.0300085564270139,0.0295649556077059,72825.0045186748,2153.0680257256,71748.470505812,990554.35737797,0.930655645899617,13.6018440908433
68,0.0337174028812144,0.0331583953930337,70671.9364929492,2343.36801342457,69500.2524862369,918805.886872158,0.927567356630753,13.0010005734571
69,0.0371350955278504,0.0364581569571636,68328.5684795246,2491.13367428481,67083.0016423822,849305.634385922,0.924358067923538,12.4297296619118
70,0.0402889315587914,0.0394933589410893,65837.4348052398,2600.1414445239,64537.3640829778,782222.632743539,0.921014298120269,11.8811225719457
71,0.0431672959434361,0.0422552730059273,63237.2933607159,2672.10909511296,61901.2388131594,717685.268660562,0.917494890352863,11.3490826460071
72,0.0468141160376115,0.0457433976742725,60565.1842656029,2770.45730907707,59179.9556110644,655784.029847402,0.913748767717237,10.8277393654335
73,0.051177475897612,0.0499005829568369,57794.7269565259,2883.99056696186,56352.7316730449,596604.074236338,0.909756942960573,10.3228115375493
74,0.0566016890024684,0.0550439001437585,54910.736389564,3022.50109064741,53399.4858442403,540251.342563293,0.905544172246599,9.83871967643052
75,0.062223086189976,0.0603456402041693,51888.2352989166,3131.2287781777,50322.6209098277,486851.856719052,0.901158069148187,9.38270214653489
76,0.0682261411340496,0.0659755137768831,48757.0065207389,3216.76855542859,47148.6222430246,436529.235809225,0.896636686878515,8.95315908337289
77,0.0739032678837899,0.071269734734736,45540.2379653103,3245.64067954442,43917.4176255381,389380.6135662,0.891992062901304,8.55025425784568
78,0.080442003297145,0.0773316469958385,42294.5972857659,3270.710867134,40659.2418521989,345463.195940662,0.887212110476395,8.16802187774764
79,0.0867267257282332,0.0831222647977224,39023.8864186319,3243.75382032576,37402.009508469,304803.954088463,0.882305141821293,7.81070216376334
80,0.0948618107090624,0.0905661750327616,35780.1325983061,3240.46975159361,34159.8977225093,267401.944579994,0.877291586914211,7.47347550614312
81,0.103228371540521,0.0981618286795083,32539.6628467125,3194.15280964796,30942.5864418885,233242.046857485,0.87225262039076,7.16793065608082
82,0.114144823176782,0.107982028407368,29345.5100370646,3168.787698451,27761.1161878391,202299.460415596,0.86733701380697,6.89371083208585
83,0.124715118724438,0.117394673408555,26176.7223386136,3073.00776984798,24640.2184536896,174538.344227757,0.862772168888599,6.66769284442818
84,0.13579960039403,0.127165114525704,23103.7145687656,2937.98650910626,21634.7213142125,149898.125774068,0.858826330897603,6.48805304999388
85,0.145358975481846,0.135510166031024,20165.7280596593,2732.66115750092,18799.3974809089,128263.404459855,0.855670501532346,6.36046484810238
86,0.155661936810893,0.144421473657582,17433.0669021584,2517.70921238094,16174.2122959679,109464.006978946,0.853431323142582,6.27910209909154
87,0.16690165997832,0.15404636311921,14915.3576897775,2297.65660673237,13766.5293864113,93289.7946829782,0.852241730022921,6.2546133068546
88,0.180439884953821,0.165507782350663,12617.7010830451,2088.32772461835,11573.5372207359,79523.265296567,0.852432632816983,6.30251618525228
89,0.191222692756569,0.174535151893676,10529.3733584268,1837.74577845824,9610.50046919763,67949.728075831,0.854463506024625,6.45334966885282
90,0.19807825242112,0.180228572120162,8691.62757996852,1566.47962813794,7908.38776589954,58339.2276066334,0.858564548507502,6.71211773282683
