"Age","High","Mid","Low"
60,97748.953220022,94800.9472174244,90768.576166259
61,97547.8130643077,94380.7515904017,90029.9905631596
62,97327.5891915019,93930.0736779371,89223.990465908
63,97086.1519840618,93446.9558543555,88345.7308778015
64,96821.1094135837,92929.3553182446,87390.1476531894
65,96529.7730387746,92375.1467009263,86351.9673264843
66,96209.1196783125,91782.1259258374,85225.7226256615
67,95855.7487235307,91147.9843852683,84005.7547328818
68,95465.8368776133,90470.0978087765,82686.0997079698
69,95035.0868180174,89745.382962675,81260.4238036367
70,94558.6694866521,88970.2108826936,79722.007885603
71,94031.1606889376,88140.3076509488,78063.7418195918
72,93446.4737486955,87250.6517187896,76278.1291403626
73,92797.8024114315,86295.4546726313,74357.2745488065
74,92077.5593932067,85268.1034440213,72292.9085039717
75,91277.3086040623,84161.0430076246,70076.4685222846
76,90387.6999589205,82965.6444015742,67699.2349645156
77,89398.4125045019,81672.0780018126,65152.5973825105
78,88298.1330572401,80269.4229278099,62429.1249438251
79,87074.5585056311,78745.782459207,59523.7137782132
80,85714.4191083175,77088.2922394353,56434.4530007817
81,84203.5468937045,75283.1713448169,53163.6065248633
82,82527.0070469596,73315.8507060636,49718.6737745624
83,80669.3532378449,71171.4317084872,46113.1913691227
84,78615.0004234274,68835.3335833927,42367.5022489356
85,76348.6986663244,66293.9502385586,38509.6753582734
86,73856.1588388269,63535.5035836974,34576.2142620406
87,71124.8508764379,60551.1230066251,30612.3875337425
88,68144.9411881055,57336.1985301823,26672.256516204
89,64910.3966886201,53891.9680693337,22817.8427248762
90,61420.3137520339,50227.2242028255,19116.7788786058
91,57680.3983871121,46360.0633248719,15638.6566504796
92,53758.1590131819,42435.3610322009,12562.7308872079
93,49650.0179184049,38422.1471542744,9846.94156463624
94,45393.4465862083,34370.962753699,7516.87764487225
95,41035.9304558843,30339.3271198867,5578.23647297488
96,36634.4579674408,26389.7207981376,4017.16589362325
97,32254.1309399461,22586.7433537042,2802.85014304014
98,27965.7850070025,18993.5617450468,1891.92232277667
99,23842.6161232089,15667.9071980837,1233.91719937694
100,19955.9603291984,12658.01835676,776.801552275175
101,16370.5525997892,9999.03160237421,471.690607013407
102,13139.7641676662,7710.34775456502,276.146188895921
103,10301.4404099148,5794.42831168017,155.848714561361
104,7874.98408596115,4237.28673294061,84.8076816560386
105,5860.215518301,3010.66647822493,44.5200218464717
106,4238.2881182175,2075.5960238452,22.5637843126361
107,2974.58462660108,1386.75953462774,11.0527350592688
108,2023.1483559824,896.991880723247,5.23957510989689
109,1331.91620007617,561.236239763253,2.40737575673975
110,847.90186976174,339.479344990881,1.07382616770688
