"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000158595897652781,0.000158583322320603,1e+05,15.8583322320603,99992.070833884,6539633.76785264,0.99992070833884,65.3963376785264
26,0.000180892575651859,0.00018087621606956,99984.1416677679,18.0847532118287,99975.099291162,6439641.69701875,0.984709836302237,64.4066307876773
27,0.000167206873488707,0.000167192895588037,99966.0569145561,16.7136145160631,99957.7001072981,6339666.59772759,0.984475052495942,63.4181920683966
28,0.000203505725294405,0.000203485020111103,99949.34330004,20.3381941315002,99939.1742029743,6239708.89762029,0.984232972102488,62.4287133021893
29,0.000158998597921455,0.000158985958649197,99929.0051059085,15.8873086736234,99921.0614515717,6139769.72341732,0.983983359505587,61.4413174324127
30,0.000273419105919524,0.000273381732025151,99913.1177972349,27.314421195441,99899.4605866372,6039848.66196575,0.983725601129556,60.4510077868163
31,0.000194900113691733,0.000194881122515266,99885.8033760395,19.4658574852617,99876.0704472968,5939949.20137911,0.983459939780325,59.4674017789797
32,0.000153207136047937,0.000153195400733636,99866.3375185542,15.2990635959554,99858.6879867562,5840073.13093181,0.983185702930909,58.4788956523692
33,0.000251880105069987,0.000251848387270863,99851.0384549583,25.1473230022022,99838.4647934572,5740214.44294505,0.982901123710616,57.4877791134281
34,0.000304038344600637,0.000303992131968349,99825.891131956,30.3462854708436,99810.7179892206,5640375.9781516,0.982607189019539,56.5021350092012
35,0.000268754591224267,0.000268718481561434,99795.5448464852,26.8169072777434,99782.1363928463,5540565.26016238,0.982304243834836,55.5191643944165
36,0.000277260664633422,0.000277222233223104,99768.7279392075,27.6581095651354,99754.8988844249,5440783.12376953,0.981990621586881,54.5339530347103
37,0.000358793609252654,0.000358729254370694,99741.0698296423,35.7800396101229,99723.1798098373,5341028.22488511,0.981665341805554,53.5489366016184
38,0.000500022728305832,0.000499897748187871,99705.2897900322,49.8424498484562,99680.368565108,5241305.04507527,0.981328842385591,52.5679736362318
