"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000502368307736472,0.000502242152466368,1e+05,50.2242152466368,99974.8878923767,5734359.28039619,0.999748878923767,57.3435928039619
26,0.000486644317075808,0.000486525934535233,99949.7757847534,48.6281580702641,99925.4617057182,5634384.39250382,0.982565639332339,56.3721563982068
27,0.000442102284784608,0.00044200457916744,99901.1476266831,44.1567647150764,99879.0692443256,5534458.9307981,0.982265061319092,55.3993528831082
28,0.00056969585592208,0.000569533625448967,99856.990861968,56.871914032041,99828.554904952,5434579.86155377,0.981953236893941,54.4236293787981
29,0.000557247938182629,0.000557092718798165,99800.118947936,55.5979196010859,99772.3199881354,5334751.30664882,0.981630860628036,53.4543582000325
30,0.000537037700046543,0.000536893534012205,99744.5210283349,53.5521883932574,99717.7449341383,5234978.98666069,0.981297662392662,52.4838751310818
31,0.000593180470044386,0.000593004590673469,99690.9688399416,59.1172021707712,99661.4102388562,5135261.24172655,0.980951643705117,51.5117999301566
32,0.000418362301753318,0.000418274806547902,99631.8516377709,41.6734934697979,99611.014891036,5035599.83148769,0.980592728286332,50.5420681108638
33,0.000501695731572716,0.000501569913830289,99590.1781443011,49.9514370701802,99565.202425766,4935988.81659666,0.980218639640869,49.5630082059364
34,0.000779642663779101,0.000779338860866365,99540.2267072309,77.575566892393,99501.4389237847,4836423.61417089,0.979828722040255,48.5876290838261
35,0.000811121375301354,0.000810792549717349,99462.6511403385,80.6435765197222,99422.3293520786,4736922.17524711,0.97942664934638,47.625134871616
36,0.000835298742138365,0.000834950025785221,99382.0075638188,82.9790097779975,99340.5180589298,4637499.84589503,0.979011196368897,46.6633745843485
37,0.000948329585173544,0.00094788013378651,99299.0285540408,94.1235764706747,99251.9667658054,4538159.3278361,0.978578863318591,45.7019509044475
38,0.00107387102243825,0.00107329473238243,99204.9049775701,106.476101938926,99151.6669266006,4438907.36107029,0.978129466244824,44.7448375871527
39,0.00131503523620056,0.00131417114551918,99098.4288756312,130.232295794639,99033.3127277338,4339755.69414369,0.977663046587507,43.7923763613861
40,0.00115935919055649,0.00115868752304208,98968.1965798365,114.673214555033,98910.859972559,4240722.38141596,0.977179979771356,42.8493448195251
41,0.00152970170816691,0.00152853260869565,98853.5233652815,151.10083394829,98777.9729483073,4141811.5214434,0.976675940776974,41.8984713993316
42,0.00120578778135048,0.00120506125728058,98702.4225313332,118.942465392247,98642.9512986371,4043033.54849509,0.976151021736044,40.9618471847702
43,0.00147498841080534,0.00147390141705093,98583.4800659409,145.302330967003,98510.8289004574,3944390.59719646,0.975601748015335,40.0106650176897
44,0.00154183992898192,0.00154065220943533,98438.1777349739,151.658996020175,98362.3482369638,3845879.768296,0.975025082716079,39.0689858019345
45,0.00171526586620926,0.00171379605826907,98286.5187389537,168.443048395808,98202.2972147558,3747517.42005903,0.974423966904055,38.1284988840874
46,0.00189393939393939,0.00189214758751183,98118.0756905579,185.653880209192,98025.2487504533,3649315.12284428,0.973795372720853,37.1930971654335
47,0.00156462928380356,0.00156340620823562,97932.4218103487,153.108156245849,97855.8677322258,3551289.87409383,0.973138727281504,36.2626575392068
48,0.00202980610010149,0.00202774813233725,97779.3136541029,198.271820643325,97680.1777437812,3453434.0063616,0.972444978810074,35.3186566493831
49,0.00292799521959964,0.00292371490796265,97581.0418334596,285.299146743013,97438.3922600881,3355753.82861782,0.971715058818601,34.3894035723152
50,0.00229421968552403,0.00229159097895649,97295.7426867166,222.962046231751,97184.2616636007,3258315.43635773,0.970963784223641,33.4887770665281
51,0.00284425945195976,0.00284022029025666,97072.7806404848,275.708081206739,96934.9265998814,3161131.17469413,0.970173464306379,32.5645474852686
52,0.00258334358469676,0.00258001105719025,96797.0725592781,249.737517506584,96672.2038005248,3064196.24809425,0.969335367233136,31.6558772603143
53,0.00336568566061365,0.00336003125610471,96547.3350417715,324.402063433966,96385.1340100545,2967524.04429372,0.968451040346829,30.7364676923482
54,0.00320333146472331,0.00319820900295834,96222.9329783375,307.741050542376,96069.0624530663,2871138.91028367,0.9675200158208,29.8384056837058
