"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.0009844552480295,0.000983970910366191,1e+05,98.3970910366191,99950.8014544817,5305739.00549496,0.999508014544817,53.0573900549496
26,0.000954260962229009,0.000953805872374233,99901.6029089634,95.2867355141681,99853.9595412063,5205788.20404048,0.981161756854047,52.1091559340076
27,0.000929409171158215,0.000928977471067511,99806.3161734492,92.7178191953752,99759.9572638515,5105934.24449928,0.980818666525137,51.1584280460355
28,0.000910431258711932,0.000910017004748391,99713.5983542538,90.7410701070221,99668.2278192003,5006174.28723542,0.980461958088997,50.2055323432409
29,0.000897882633446783,0.000897479717720577,99622.8572841468,89.4094938338934,99578.1525372299,4906506.05941622,0.980090939288044,49.2508064230858
30,0.000892392643461947,0.000891994638735139,99533.4477903129,88.783301803783,99489.056139411,4806927.90687899,0.979704875255147,48.2945985856508
31,0.000894722139084809,0.000894322054214121,99444.6644885092,88.9355566259975,99400.1967101961,4707438.85073958,0.979302985593556,47.3372691732851
32,0.000905832653795064,0.000905422573128953,99355.7289318832,89.9589197446084,99310.7494720109,4608038.65402939,0.978884442291889,46.3791942706051
33,0.000926973120365093,0.000926543679822073,99265.7700121386,91.9740718274185,99219.7829762248,4508727.90455738,0.978448368833631,45.4207719741259
34,0.000959792791558441,0.00095933241139186,99173.7959403111,95.1406368063029,99126.225621908,4409508.12158115,0.977993841039745,44.4624316309831
35,0.00100631744524731,0.00100581136248696,99078.6553035048,99.654437284194,99028.8280848627,4310381.89595924,0.977519890452914,43.5046467148284
36,0.00106772417140706,0.00106715445810229,98979.0008662207,105.625882032898,98926.1879252042,4211353.06787438,0.977025509461772,42.547944826867
37,0.00114485587263577,0.0011442009000758,98873.3749841878,113.13100465044,98816.8094818625,4112426.87994917,0.976509642784442,41.5928644147815
38,0.00123882220556521,0.00123805534034154,98760.2439795373,122.2706474723,98699.1086558012,4013610.07046731,0.975971169247127,40.6399367674599
39,0.00135092837748748,0.00135001648969447,98637.973332065,133.162890508332,98571.3918868109,3914910.96181151,0.975408894505711,39.689693832536
40,0.0014825849948173,0.00148148677978243,98504.8104415567,145.933574414141,98431.8436543496,3816339.5699247,0.974821549494142,38.7426720869531
41,0.00163519504851575,0.00163385920927127,98358.8768671425,160.704556782959,98278.5245887511,3717907.72627035,0.974207786846313,37.7994121597412
42,0.00181000997508302,0.00180837338814741,98198.1723103596,177.578961570768,98109.3828295742,3619629.2016816,0.973566174358141,36.8604538813778
43,0.00200794849953287,0.00200593459285493,98020.5933487888,196.622899010501,97922.2818992836,3521519.81885203,0.972895184185166,35.9263262804513
44,0.00222941475203433,0.00222693237409104,97823.9704497783,217.847366756736,97715.0467664,3423597.53695274,0.97219317597616,34.9975320078669
45,0.00247527310686519,0.00247221340518705,97606.1230830216,241.303165914183,97485.4715000645,3325882.49018634,0.971458372162117,34.0745271416776
46,0.00274741281043192,0.00274364384930251,97364.8199171074,267.134389304018,97231.2527224554,3228397.01868628,0.970688840694849,33.1577362484192
47,0.00304776119647103,0.00304312383909461,97097.6855278034,295.48028155057,96949.9453870281,3131165.76596382,0.969882498292598,32.2475839557188
48,0.00337817272451114,0.00337247632075073,96802.2052462528,326.46314498944,96638.9736737581,3034215.82057679,0.969037108657457,31.3444906844645
49,0.00374036809848844,0.00373338597957976,96475.7421012634,360.18118293041,96295.6515097982,2937576.84690304,0.968150263729299,30.4488649988272
50,0.00413586251214857,0.00412732748264316,96115.560918333,396.700396087898,95917.210720289,2841281.19539324,0.967219359176486,29.5610946681922
51,0.00456588297309206,0.0045554830717962,95718.8605222451,436.045648760709,95500.8376978647,2745363.98467295,0.966241563532745,28.6815364254668
52,0.00503127517885319,0.00501865007407866,95282.8148734844,478.191105923235,95043.7193205228,2649863.14697508,0.965213779217971,27.8105044492393
53,0.00553240275127087,0.00551714122761746,94804.6237675611,523.050498356773,94543.0985183827,2554819.42765456,0.96413259325146,26.9482576495254
