"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00335193503966169,0.00334632670479371,1e+05,334.632670479371,99832.6836647603,4753260.22279118,0.998326836647603,47.5326022279118
26,0.00340526238584661,0.00339947433480463,99665.3673295206,338.809858305581,99495.9624003678,4653427.53912642,0.97899700858243,46.6905171155486
27,0.00345979547575904,0.00345382071911001,99326.557471215,343.056122151954,99155.0294101391,4553931.57672605,0.978618779047531,45.8480762110958
28,0.00351574962278801,0.0035095802201205,98983.5013490631,347.390538452942,98809.8060798366,4454776.54731591,0.978226499950747,45.0052431627594
29,0.00357335306149752,0.00356698002200655,98636.1108106101,351.833036709871,98460.1942922552,4355966.74123607,0.977819357485086,44.1619879924088
30,0.00363285895973343,0.00362627209220313,98284.2777739003,356.405533593835,98106.0750071034,4257506.54694382,0.977396477029961,43.3182869465457
31,0.00369474443489616,0.00368793145279042,97927.8722403064,361.151280139868,97747.2966002365,4159400.47193672,0.976956917405676,42.4741228087741
32,0.00375970407334925,0.00375264964726691,97566.7209601666,366.133720996158,97383.6540996685,4061653.17533648,0.976499666896772,41.6294934929168
33,0.00382848703421471,0.003821172379759,97200.5872391704,371.420199254674,97014.8771395431,3964269.52123681,0.976023641139276,40.7844194550223
34,0.00390189719178279,0.00389429961342001,96829.1670399157,377.081787771325,96640.6261460301,3867254.64409727,0.975527678776675,39.9389436294859
35,0.00398080525656387,0.00397289759075733,96452.0852521444,383.194257121765,96260.4881235835,3770614.01795124,0.975010534593698,39.0931311447972
36,0.00406628631015546,0.00405803574256241,96068.8909950227,389.850993406134,95873.9654983196,3674353.52982765,0.974470871941465,38.2470692830005
37,0.00415966541319633,0.00415103196115738,95679.0400016165,397.166753059566,95480.4566250868,3578479.56432933,0.973907256141785,37.4008723777838
38,0.00426240439135642,0.00425333966452442,95281.873248557,405.266170798275,95079.2401631578,3482999.10770425,0.973318149535673,36.5546875701984
39,0.0043761186940828,0.00436656439205032,94876.6070777587,414.28481410429,94669.4646707065,3387919.86754109,0.97270190510447,35.7086954507598
40,0.00450260493285377,0.00449249097683721,94462.3222636544,424.371130420556,94250.1366984441,3293250.40287038,0.972056758019068,34.8631107509571
41,0.00464372762569273,0.00463297049914478,94037.9511332338,435.675053400291,93820.1136065337,3199000.26617194,0.971380816771086,34.018183378321
42,0.00480136197463466,0.00478986304149908,93602.2760798336,448.342082794988,93378.1050384361,3105180.15256541,0.970672051953655,33.1741949300142
43,0.00497762217124002,0.00496526456574576,93153.9339970386,462.533927635315,92922.6670332209,3011802.04752697,0.96992828098515,32.3314530937869
44,0.00517492586340007,0.00516157049108503,92691.4000694032,478.433195375589,92452.1834717155,2918879.38049375,0.969147153243514,31.4902933638743
45,0.00539604906264468,0.00538152956386533,92212.9668740277,496.246807404315,91964.8434703255,2826427.19702203,0.96832613773301,30.6510818688138
46,0.00564399588883743,0.00562811336449188,91716.7200666233,516.192097954323,91458.6240176462,2734462.35355171,0.967462511128105,29.8142187331316
47,0.00592183394902663,0.00590435165399083,91200.527968669,538.479988156648,90931.2879745907,2643003.72953406,0.966553343146651,28.9801362821281
48,0.00623305232754115,0.00621368720878149,90662.0479805124,563.345607858444,90380.3751765832,2552072.44155947,0.96559547496718,28.1492917754079
49,0.00658167759229747,0.0065600893956082,90098.7023726539,591.055541992907,89803.1746016575,2461692.06638289,0.96458549776849,27.3221700374904
