"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00171330323298261,0.00171183678523337,1e+05,171.183678523337,99914.4081607383,4858557.92819116,0.999144081607383,48.5855792819116
26,0.00174164709213822,0.0017401317444419,99828.8163214767,173.715292291061,99741.9586753311,4758643.52003042,0.979435377814269,47.6680350962618
27,0.00177260911697235,0.00177103943664639,99655.1010291856,176.493113985668,99566.8544721928,4658901.56135509,0.979039833882179,46.7502567679968
28,0.00180719299076179,0.00180556149172567,99478.6079151999,179.614743702162,99388.8005433489,4559334.7068829,0.978628684645736,45.8323131217264
29,0.00184648874022562,0.00184478555235035,99298.9931714978,183.185347965715,99207.4004975149,4459945.90633955,0.978201029989461,44.9143114536604
30,0.00189168257783544,0.00188989503707765,99115.8078235321,187.318473301636,99022.1485868813,4360738.50584203,0.977755918439168,43.9963977653896
31,0.00194385598673862,0.001941968533159,98928.4893502304,192.116013351103,98832.4313435549,4261716.35725515,0.977292344300347,43.0787570420454
32,0.00200401683368487,0.00200201080201065,98736.3733368793,197.671285971788,98637.5376938934,4162883.9259116,0.976809242319634,42.1616045356276
33,0.00207331706175142,0.00207116996573754,98538.7020509075,204.0904001506,98436.6568508322,4064246.3882177,0.976305479698838,41.2451788345864
34,0.0021530929385498,0.00215077752659735,98334.6116507569,211.495872825126,98228.8637143444,3965809.73136687,0.97577985007597,40.3297441744292
35,0.00224489285555478,0.00224237590872629,98123.1157779318,220.028910909595,98013.101322477,3867580.86765253,0.975231069978617,39.4155937363982
36,0.00235013441862599,0.00234737609395006,97903.0868670222,229.815365635564,97788.1791842044,3769567.76633005,0.974657775835475,38.5030532433579
37,0.00247000285096163,0.00246695615659164,97673.2715013867,240.955678464793,97552.7936621543,3671779.58714584,0.974058516719701,37.5924705981996
38,0.00260584553696501,0.00260245473943106,97432.3158229219,253.563192087107,97305.5342268783,3574226.79348369,0.97343174029191,36.6842023952264
39,0.00275921246355877,0.00275541108125995,97178.7526308348,267.767411862022,97044.8689249038,3476921.25925681,0.972775780651558,35.7786158509878
40,0.00293187522585019,0.00292758357097851,96910.9852189728,283.715008174406,96769.1277148855,3379876.39033191,0.972088850540824,34.8760915255891
41,0.00312577840951884,0.00312090078736913,96627.2702107983,301.564123682211,96476.4881489572,3283107.26261702,0.971369033497292,33.9770259001907
42,0.0033430029350148,0.0033374244251904,96325.7060871161,321.479764268853,96164.9662049817,3186630.77446807,0.970614274700226,33.0818314644494
43,0.00358586130527839,0.00357944361110863,96004.2263228473,343.641714550743,95832.4054655719,3090465.80826308,0.969822369451938,32.1909349893652
44,0.0038569203344333,0.00384949673331926,95660.5846082965,368.245107957049,95476.462054318,2994633.40279751,0.96899095106979,31.3047784002126
45,0.00415901697693507,0.00415038621357353,95292.3395003395,395.500012121377,95094.5894942788,2899156.94074319,0.968117479099403,30.4238195425233
