"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,20583,49190,42243,5,15,28,0.000728756740999854,0.000569221386460663,0.000118362805671946,0.000428510212826739,112016,48,0.377115769175832,0.439133695186402,0.183750535637766,0.000728756740999854,0.000728756740999854,0.000728756740999854,0.000569221386460663,0.000569221386460663,0.000569221386460663,0.000118362805671946,0.000118362805671946,0.000118362805671946,0.000428510212826739,0.000428510212826739,0.000428510212826739
26,23129,50946,43461,9,17,27,0.000735007998616456,0.000529972912495584,0.00020708221163802,0.000450925673836101,117536,53,0.369767560577185,0.433450176967057,0.196782262455758,0.000682739425186734,0.000671674673117111,0.000672715891274529,0.00055123073370195,0.000575205414544094,0.000578741383356742,0.000175329571184371,0.000161056442450392,0.000154121351228357,0.000437554261746537,0.000440072873317213,0.000439114019436858
27,25665,54103,44878,9,15,30,0.000584453535943892,0.000554497902149604,0.000200543696243148,0.000433226898576769,124646,54,0.360043643598671,0.434053238772203,0.205903117629126,0.000603527853164745,0.00061771625970662,0.000618452426857638,0.00060516412346967,0.000591797349065468,0.000593728965025902,0.000189476950494859,0.000182944805562735,0.000176143096038643,0.000454154145378365,0.000448758972166623,0.000446884760442663
28,26470,53350,43531,7,13,39,0.000491122024933887,0.000731021555763824,0.000160804943603409,0.000478309863722224,123351,59,0.352903503011731,0.432505614060689,0.214590882927581,0.000566881500768381,0.000565966347749183,0.000577985847423685,0.000618997190024785,0.000614184131468144,0.000608182273983656,0.000184027895008974,0.000184428040102802,0.000181723152467088,0.000454568509374967,0.000451822435844153,0.000450565880416707
29,27197,52496,41943,8,17,30,0.000625068941427363,0.000571472112160927,0.000190735045180364,0.000452168765825907,121636,55,0.344823900818837,0.431582755105396,0.223593344075767,0.000527489689314422,0.000550274934815252,0.000547860383873788,0.000618391080909977,0.000618565341417356,0.000622732901609551,0.000179779274804572,0.000177796611735727,0.000178301146364835,0.000446744652779127,0.000451116233239346,0.00045239769005074
30,30025,54281,42599,8,14,30,0.000466278101582015,0.00055267957480518,0.000187797835629944,0.000409755328789252,126905,52,0.335676293290256,0.427729403884796,0.236594302824948,0.000556453614362952,0.000527339869056931,0.000535621387936086,0.000618307753317306,0.000635449231943153,0.000640869241689173,0.000169582665393633,0.000172678787255977,0.000173386041133306,0.000452035537563945,0.000454254401068719,0.000458937177862247
31,27681,49263,38398,5,16,36,0.000578013800079477,0.000730771572985811,0.000130215115370592,0.000494182518076676,115342,57,0.332905619808916,0.427103743649321,0.239990636541763,0.000498076303493419,0.000529249359936076,0.000532917373461538,0.000669648861602177,0.000668593151707008,0.000679233526322816,0.000168674421569725,0.000169682724408214,0.000175664827154271,0.000463983012863086,0.000471440899278675,0.000479494327790426
32,33338,52378,37232,7,15,38,0.000449937008818765,0.000725495437015541,0.000188010313708638,0.00048801119172333,122948,60,0.302827211504051,0.426017503334743,0.271155285161206,0.000533218161951858,0.000542162891391607,0.000555604175088989,0.000717822840201542,0.000733658195318286,0.000740256099503348,0.000170791086261283,0.000184632969798624,0.000185499241356302,0.000498304147408995,0.000512787683023882,0.00051916831472949
33,33234,51635,36055,7,19,36,0.000571703676957333,0.000697201510603273,0.000194147829704618,0.000512718732426979,120924,62,0.298162482220238,0.427003737884953,0.27483377989481,0.000595194208729542,0.000595400273939283,0.00059406661575413,0.00081350288415114,0.000818516951484748,0.000826176741115213,0.000214433401564864,0.00020218202986207,0.000205605077895544,0.000576075888799565,0.000573276361885913,0.000576980987079377
34,34034,51090,34464,9,26,52,0.000763941940412529,0.00101781170483461,0.000261142061281337,0.000727497742248386,119588,87,0.288189450446533,0.427216777603104,0.284593771950363,0.000657788451136448,0.000644636681931501,0.000636128894830558,0.000924225130101564,0.000926355076542605,0.000918837066754337,0.000221321601760062,0.000230000234025938,0.000222025697385364,0.000645449049449179,0.000644878916328336,0.000636436239885602
