"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,8238,59136,75664,2707,12,10,28,0.00121388686574411,0.000473484848484848,0.000158595897652781,0.000349557460255317,143038,50,0.528978313455166,0.413428599393168,0.057593087151666,0.00121388686574411,0.00121388686574411,0.00121388686574411,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000158595897652781,0.000158595897652781,0.000158595897652781,0.000349557460255317,0.000349557460255317,0.000349557460255317
26,8710,60496,77394,2830,14,9,24,0.00103329506314581,0.000396720444326898,0.000180892575651859,0.000320600272851296,146600,47,0.527926330150068,0.412660300136426,0.0594133697135061,0.00119533979057014,0.00122646486622198,0.0012383191010829,0.000474581289855461,0.000478512070705953,0.000486894415347922,0.000168898448931116,0.00017045424602074,0.000168498630036836,0.000356148589871366,0.000360866884211855,0.000364421598316247
27,8963,61423,77748,2781,13,12,34,0.00133883744282048,0.000553538576754636,0.000167206873488707,0.000398288036507486,148134,59,0.524849123091255,0.41464484858304,0.0605060283257051,0.00127016794235168,0.00127460557128261,0.001258066639284,0.000487470073777551,0.000508686326852963,0.000511764520128479,0.000183868391478324,0.000176445746436987,0.000179234804903499,0.00037689460250888,0.000382840450481569,0.000384872502003651
28,9038,60529,73708,2542,15,13,31,0.00143837132108874,0.000512151200251119,0.000203505725294405,0.000411795498167859,143275,59,0.514451230151806,0.42246728319665,0.0630814866515442,0.00135830898092601,0.00127312948034742,0.00123321610259792,0.000564007616925878,0.000548095162826521,0.000553605863542909,0.000176570398901522,0.000190804422252769,0.000188822368947425,0.00041547815906446,0.00041091017131753,0.000410005943090247
29,9247,59074,69183,2474,11,12,37,0.00129771817886882,0.000626333073771879,0.000158998597921455,0.000436350942518036,137504,60,0.503134454270421,0.429616592971841,0.067248952757738,0.00119091151776456,0.00115191325616373,0.00112254346050644,0.000592807797776135,0.000604036100949243,0.00060027433738983,0.000211974476378461,0.000199216938152518,0.000199813327628699,0.000440357752379248,0.000436267207471643,0.000433325690729637
30,9562,57818,65833,2480,18,8,37,0.000836645053336122,0.000639939119305407,0.000273419105919524,0.000472926816451848,133213,63,0.494193509642452,0.434026709104967,0.0717797812525805,0.000906519269800621,0.000942587645008178,0.000962843764234199,0.000655292888145715,0.000648691748393725,0.000649863325501952,0.00020910593917757,0.00020941862248081,0.00020535344480659,0.000452965710971222,0.000452799693399739,0.000452803136323057
31,10253,57175,61570,2358,12,6,40,0.000585194577196918,0.00069960647135986,0.000194900113691733,0.000449619373943782,128998,58,0.477294221615839,0.44322392595234,0.0794818524318207,0.000730332147459352,0.000794030391530688,0.000835022258108214,0.000697974559259325,0.000696862127162889,0.000692404333375435,0.000207175451886398,0.000207424773786443,0.000211785656842428,0.000465075616848749,0.000469342508097787,0.000472457881016406
32,10401,55675,58744,2126,9,8,42,0.000769156811845015,0.000754378087112708,0.000153207136047937,0.000472680660150617,124820,59,0.47062970677776,0.446042300913315,0.0833279923089248,0.000745239757332093,0.000768448737785774,0.000792342965479796,0.000737318934083626,0.000731659124569691,0.00072638140574212,0.000205992930295361,0.00021851357426003,0.000223671199808109,0.000489986196473391,0.000495231441551691,0.000497251974807068
33,11346,55411,55582,2024,15,10,42,0.000881367882954345,0.000757972243778311,0.000269871541146414,0.000547658555325775,122339,67,0.454327728688317,0.452929973270993,0.0927422980406902,0.000829774308565879,0.000814549767122925,0.000813082124840654,0.000759683880366123,0.00075062296549378,0.000750761843565468,0.000242372340598329,0.000245075251377853,0.000245480313906005,0.000530632511332932,0.000527181974771725,0.000527507658558589
34,13114,58693,55914,2199,17,11,45,0.000838798230898277,0.00076670131020735,0.000304038344600637,0.000571558318522404,127721,73,0.437782353724133,0.45954071765802,0.102676928617847,0.000868635235470803,0.000856247869613262,0.000853256458649147,0.000754866082031592,0.000770003440632933,0.000772254109442289,0.000286860483239867,0.000272852116080133,0.000271619617567901,0.00056092721650885,0.000560109559352352,0.000560613648867917
