"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,20465,76038,22076,12,93,126,0.00454434400195456,0.00165706620374024,0.000543576734915746,0.00194806837635669,118579,231,0.186171244486798,0.641243390482295,0.172585365030908,0.00454434400195456,0.00454434400195456,0.00454434400195456,0.00165706620374024,0.00165706620374024,0.00165706620374024,0.000543576734915746,0.000543576734915746,0.000543576734915746,0.00194806837635669,0.00194806837635669,0.00194806837635669
26,23310,74708,21527,13,79,122,0.00338910338910339,0.00163302457568132,0.000603892785803874,0.00179012087498432,119545,214,0.180074448952277,0.624936216487515,0.194989334560207,0.00388172771627864,0.00398002022182666,0.00404667836240849,0.00160848984985238,0.00161442785706627,0.00161732880542447,0.000549902253109322,0.000564977054796171,0.000568063919569539,0.00183812939520722,0.0018566494801471,0.00186680717009373
27,23978,76854,21902,11,89,118,0.00371173575777796,0.00153537877013558,0.000502237238608346,0.00177619893428064,122734,218,0.17845095898447,0.626183453647726,0.195365587367804,0.0035139889472468,0.00361567086344424,0.00367840824159363,0.00157772751760621,0.0015804923554669,0.00159053081771555,0.000601452176363446,0.0005956379689967,0.000597572617305424,0.00178375066887739,0.00179570365377741,0.00181033146869338
28,24120,75410,21483,15,83,118,0.00344112769485904,0.00156477920700172,0.000698226504678118,0.00178493219736722,121013,216,0.177526381463149,0.623156189830845,0.199317428706007,0.0034512959268073,0.00343953363950999,0.00348987763890676,0.00155525969894211,0.00157667224061348,0.00159308977772407,0.000635559477517333,0.0006321028281234,0.000623808551944496,0.00176523089724761,0.00177864127215564,0.00179432562923301
29,23430,74092,21240,15,75,116,0.00320102432778489,0.00156562111968904,0.000706214689265537,0.00173456156009498,118762,206,0.17884508512824,0.623869587915326,0.197285326956434,0.00335331604447589,0.00341442841376603,0.00342774683234386,0.00159702950529212,0.00162210473709182,0.00163177776146016,0.000659296830489422,0.000643684858713386,0.000639370226482429,0.00178694225034192,0.00180863196176597,0.00181786114966752
30,25455,75270,20926,12,87,125,0.00341779611078374,0.0016606881891856,0.00057344929752461,0.00184133299356355,121651,224,0.172016670639781,0.618737207256825,0.209246122103394,0.00343867327001491,0.00342927844375556,0.00345415905212627,0.00171402500704122,0.00169655630667517,0.00168794088209482,0.000636198268133403,0.0006423229926105,0.000642661773265608,0.00187372273770837,0.00186631021508095,0.00186530120334743
31,21638,67336,19080,12,80,129,0.00369719937147611,0.00191576571224902,0.000628930817610063,0.00204527365946656,108054,221,0.176578377477928,0.623169896533215,0.200251725988857,0.00349584601677587,0.00351877029885722,0.00353485665591205,0.00177861440769218,0.00174516160251746,0.00172795096739391,0.000631473879208674,0.000641977468472938,0.000647072019503466,0.00193826565719257,0.00192096143319537,0.0019157526232401
32,24314,70479,18785,13,82,124,0.00337254256806778,0.00175938932164191,0.000692041522491349,0.00192819031854761,113578,219,0.165392945816972,0.620533906214232,0.214073147968797,0.00362179160978086,0.00365652122512336,0.00367428167242727,0.001742845392819,0.00174213499298909,0.00174184012956321,0.000658260258076738,0.00065691559742696,0.000667372741529074,0.00195089590468517,0.00195998622144397,0.00196446002117629
33,23448,68882,18354,12,89,107,0.0037956328897987,0.00155338114456607,0.0006538084341288,0.00187922373604134,110684,208,0.165823425246648,0.622330237432691,0.211846337320661,0.00385192604881335,0.00384755349330124,0.00383886584757766,0.0017049451784561,0.00173822379318309,0.00176237447172064,0.000681012654995469,0.000703225158687322,0.00071101396838481,0.00199079710245417,0.00201243240888953,0.00202848793606541
34,21424,61596,17212,12,94,111,0.00438760268857356,0.00180206506916034,0.000697188008366256,0.00216497725277357,100232,217,0.171721605874371,0.614534280469311,0.213744113656317,0.00406894282130949,0.00401252282430839,0.00399212532507755,0.00176688080827416,0.00180676462898975,0.00182170383663198,0.00077040256298976,0.000772901149040148,0.000781053005927666,0.00209560421952926,0.00211304517786273,0.00212192900502727
