"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
25,20154,76165,26982,6,27,33,0.00133968442988985,0.000433269874614324,0.00022237046920169,0.000535275464108158,123301,66,0.218830342008581,0.617715995815119,0.1634536621763,0.00133968442988985,0.00133968442988985,0.00133968442988985,0.000433269874614324,0.000433269874614324,0.000433269874614324,0.00022237046920169,0.00022237046920169,0.00022237046920169,0.000535275464108158,0.000535275464108158,0.000535275464108158
26,22255,77073,25284,9,30,35,0.00134801168276792,0.000454114930001427,0.000355956336022781,0.000593843289570828,124612,74,0.202901807209579,0.618503835906654,0.178594356883767,0.00124395178231366,0.00129093931348875,0.00130008544801601,0.000442541767236721,0.000450155181731989,0.000450573005420846,0.000258839763255152,0.000249658695525905,0.000238823024701606,0.000543411506416922,0.000553488638653978,0.000552247061450535
27,22985,79502,25228,5,24,35,0.00104415923428323,0.000440240497094413,0.000198192484540986,0.000501115765571781,127715,64,0.197533570841326,0.622495399913871,0.179971029244803,0.00128918172826273,0.00126963260066944,0.00128674990541712,0.000474653903344922,0.000468293959916224,0.000470517655753966,0.000267765854120874,0.000244439909377222,0.000241077883653452,0.000581778945436853,0.000567977081589468,0.000571079328508918
28,23045,77416,24082,6,34,41,0.00147537426773704,0.000529606282938927,0.000249148741798854,0.00065037778116795,124543,81,0.193362934889958,0.621600571690099,0.185036493419943,0.00127576429143192,0.00129967780209317,0.00129585313683166,0.000487686209167029,0.000493103825613684,0.000492214324593698,0.000206714110755639,0.000229135046057228,0.000228058216967765,0.00057874079291463,0.000591772265283309,0.000589720662694828
29,22940,77046,23148,4,30,38,0.0013077593722755,0.000493211847467746,0.000172801105927078,0.000584728832004158,123134,72,0.187990319489337,0.625708577647116,0.186301102863547,0.00133408738658485,0.00131824900773237,0.00131080345250867,0.000516971364329101,0.000515245188251187,0.000512646034553035,0.000212925173295172,0.000210599695468844,0.000220234114968345,0.000614797057498445,0.000609412641211707,0.000608589675095553
30,25428,79531,23060,5,31,42,0.00121912851974202,0.000528095962580629,0.000216825672159584,0.000609284559323225,128019,78,0.180129512025559,0.62124372163507,0.198626766339372,0.00134489534518035,0.00131448354770046,0.00131193533469443,0.000541077991257431,0.000529589089794235,0.000524694840791454,0.00021215980235572,0.000220967603378964,0.00022404339187483,0.000634700073222047,0.000624584118791642,0.00062138521915832
31,21223,69776,20255,5,32,42,0.00150779814352354,0.000601926163723917,0.000246852628980499,0.000710086828338756,111254,79,0.182060869721538,0.627177449799558,0.190761680478904,0.00126446791133618,0.00130307344865044,0.00129991493893448,0.000530717913796174,0.000529250244328939,0.000530435499721579,0.000237817834485999,0.000240562876776683,0.000249870700940864,0.000624255225654434,0.000630158897471611,0.000632315708399357
32,25317,75736,20018,5,27,35,0.00106647707074298,0.000462131615083976,0.000249775202317914,0.000553394289301319,121071,67,0.165340998257221,0.625550296933205,0.209108704809575,0.0012998570894348,0.00128218782045255,0.00131171680106498,0.000515954827933213,0.000532467165041562,0.000547145355819889,0.00027171099348833,0.000288081622666947,0.000286634870735058,0.000631521393538351,0.00064220410893482,0.000657360724959587
33,23391,70276,18838,6,31,34,0.00132529605403788,0.000483806704991747,0.000318505149166578,0.000631083062974979,112505,71,0.167441447046798,0.624647793431403,0.207910759521799,0.00128223846058668,0.00134988913409194,0.0013479742265046,0.000550728753395299,0.000579718658089165,0.000593962165777984,0.000354716040026511,0.000331260112761544,0.000329091861940939,0.000670835707611675,0.000699719168472331,0.000708888044382302
34,21994,63717,18150,9,32,45,0.00145494225697918,0.000706247940110175,0.000495867768595041,0.000828029770558727,103861,86,0.174752794600476,0.613483405705703,0.211763799693822,0.00146757185225433,0.0014118457249693,0.00141987238926084,0.000672472392938982,0.000669700674203225,0.000674068651621064,0.000367353304769792,0.000367933850394327,0.000358927990037773,0.000796800404266966,0.000784740855739753,0.000789089339139876
35,25270,60433,17380,5,41,50,0.00162247724574594,0.000827362533715023,0.000287686996547756,0.000931288379267192,103083,96,0.168602000329831,0.586255735669315,0.245142264000854,0.00148572686206689,0.00149788230872127,0.001489364433426,0.000785900876275395,0.000772786622570803,0.000764531374973985,0.000381732206386678,0.000377590006957448,0.000392739899916644,0.000886586455340619,0.000882807993207545,0.000880744791604628
36,27541,55819,16591,6,38,46,0.00137976108347555,0.000824092155000985,0.000361641854017238,0.000900441216195936,99951,90,0.16599133575452,0.558463647187122,0.275545017058359,0.0015403482118426,0.00155836526658742,0.00157149048134793,0.000859986598498032,0.000851106828147928,0.000853162364689359,0.000383684509715874,0.000432695842398155,0.000444585764351674,0.000965037120015049,0.000974685525866587,0.000981187759554312
37,28416,50619,15945,8,46,47,0.00161880630630631,0.000928505106778087,0.000501724678582628,0.00106338176458202,94980,101,0.167877447883765,0.532943777637397,0.299178774478838,0.00164902072585276,0.0016582238687351,0.00166563741390512,0.000907433009670356,0.000935593643349348,0.000931158992880422,0.000532670811091913,0.000523471443699419,0.000522313010118175,0.00107243300224409,0.00108606975958881,0.00108630744649792
38,30793,50531,13612,10,60,49,0.00194849478777644,0.000969701767231996,0.000734645900675874,0.00125347602595433,94936,119,0.143380803910003,0.532263840903345,0.324355355186652,0.00178530266850994,0.00178032310639283,0.00178990008408372,0.00103936132187965,0.00100677650714399,0.00101757769023492,0.000654059010290468,0.000610771744256951,0.000602532329635078,0.00122073915650728,0.00119816705403836,0.00120557255406152
39,29632,43447,12400,9,53,53,0.00178860691144708,0.00121987709162888,0.000725806451612903,0.00134535967898548,85479,115,0.145064869734087,0.508276886720715,0.346658243545198,0.00190664592481579,0.00193115327712322,0.00192817291297154,0.00107353518988197,0.00111036292021142,0.00109357286718332,0.000645585411388472,0.000673353800948865,0.000659639441323759,0.0013013290033637,0.00133248084855738,0.00132225723373474
40,32277,41706,12597,6,64,43,0.00198283607522384,0.00103102671078502,0.000476303881876637,0.00130515130515131,86580,113,0.145495495495496,0.481704781704782,0.372799722799723,0.00210151123804392,0.00207304235539856,0.00208316937519894,0.00121819224887263,0.00116357917419455,0.00117249773205991,0.000720416981167656,0.00069479277876546,0.000700564608393781,0.00147537438580117,0.00143612379860848,0.00144703591367784
41,28029,34196,10426,10,71,48,0.00253309072746084,0.001403672944204,0.000959140610013428,0.00177561217326671,72651,129,0.143508004019215,0.470688634705648,0.385803361275137,0.00221096990333596,0.00224531249307505,0.00224641025896852,0.00119901008382906,0.00124355110177376,0.0012293770675474,0.000718375943740253,0.000733547245467017,0.000730297434045088,0.00153166800666057,0.00157250309386765,0.00156835137230987
42,38262,40436,11116,8,81,47,0.00211698290732319,0.00116233059649817,0.000719683339330694,0.00151424054156368,89814,136,0.123766896029572,0.450219342196094,0.426013761774334,0.00242345633784527,0.00242087592843195,0.00246037672015364,0.00131345097261958,0.00128100092667388,0.00130046126685428,0.00076184881149314,0.000762552277902787,0.000779929014351984,0.00171046688914123,0.00169642722445347,0.00172529613632325
43,33584,34198,8241,5,88,47,0.00262029537875179,0.00137434937715656,0.000606722485135299,0.00184154795259329,76023,140,0.10840140483801,0.449837549162753,0.441761045999237,0.00262820154411461,0.00271494173895391,0.00272558565641235,0.00133054172357299,0.0013768317721152,0.00138383890802033,0.000807432078474966,0.000843687519686149,0.000858734782483662,0.00184714677755862,0.00190695809064862,0.00191615645819609
44,31773,30929,7300,8,100,45,0.00314732634626884,0.00145494519706424,0.0010958904109589,0.0021856518385189,70002,153,0.104282734779006,0.441830233421902,0.453887031799091,0.00309316733490184,0.00304093930185121,0.00304129400691601,0.00148650262015303,0.00149368402527192,0.00149918185671777,0.000961781669090341,0.000969964549862052,0.000971278465792592,0.002163260605246,0.00214508405948619,0.00214793490525939
45,31607,29444,6764,8,111,48,0.00351188027968488,0.00163021328623828,0.00118273211117682,0.00246258202462582,67815,167,0.0997419449974195,0.434181228341812,0.466076826660768,0.00340144902653718,0.00336800097994293,0.00333100391316466,0.00166400773208974,0.00162702977276618,0.00161644778088392,0.00114067990202085,0.00110018332782958,0.001104307225592,0.00242484479565393,0.00239176256564335,0.00237197514205631
46,33285,29892,6122,7,118,57,0.0035451404536578,0.00190686471296668,0.00114341718392682,0.00262630052381708,69299,182,0.0883418231143307,0.431348215702968,0.480309961182701,0.00360938657838978,0.00358407145769985,0.00358678693294383,0.00173057896605578,0.00172862954461366,0.00173389242784769,0.00119808841237754,0.00124277379908437,0.00124830327488175,0.00258718229603011,0.00257907880103939,0.00258419272895885
