"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00030601028149568,0.00030596346751227,1e+05,30.596346751227,99984.7018266244,6132010.75438953,0.999847018266244,61.3201075438953
26,0.000322806632224887,0.000322754538572071,99969.4036532488,32.2655787474295,99953.270863875,6032026.05256291,0.983694630386117,60.3387219702284
27,0.000340579968389796,0.000340521980907049,99937.1380745013,34.0307922233105,99920.1226783897,5932072.78169903,0.983429569104496,59.3580414247683
28,0.000359418448707589,0.000359353869502432,99903.107282278,35.9005681772032,99885.1569981894,5832152.65902064,0.983155951325032,58.3780907088484
29,0.000379420361867694,0.000379348395614925,99867.2067141008,37.8844646415382,99848.2644817801,5732267.50202246,0.982873363775261,57.3988969014899
30,0.000400695978877394,0.000400615716324091,99829.3222494593,39.9931954431156,99809.3256517377,5632419.23754068,0.982581366894244,56.4204895978965
31,0.000423380754701962,0.000423291148039105,99789.3290540162,42.2399396573265,99768.2090841875,5532609.91188894,0.982279492800092,55.4429012033353
32,0.000447638870132621,0.000447538702273108,99747.0891143589,44.6406828177602,99724.76877295,5432841.70280475,0.981967243186656,54.4661678956472
33,0.000473657224520447,0.000473545075497374,99702.4484315411,47.2136034697872,99678.8416298062,5333116.9340318,0.981644087159494,53.4903306581652
34,0.000501648346152908,0.000501522552173479,99655.2348280713,49.9793477084217,99630.2451542171,5233438.09240199,0.981309458828151,52.5154358567405
35,0.000531853870703161,0.000531712474034452,99605.2554803629,52.9613568182975,99578.7748019537,5133807.84724778,0.980962754618448,51.5415358606244
36,0.000564538917827296,0.000564379610699962,99552.2941235446,56.1852850017342,99524.2014810437,5034229.07244582,0.980603330361237,50.5686897199811
37,0.000599992590349489,0.000599812648777057,99496.1088385429,59.6790245854568,99466.2693262501,4934704.87096478,0.980230498046707,49.596963424696
38,0.000638542264121626,0.00063833846107852,99436.4298139574,63.4740975825838,99404.6927651661,4835238.60163853,0.979843522170597,48.6264300788465
39,0.000680560110454772,0.000680328608198402,99372.9557163748,67.6062646550827,99339.1525840473,4735833.90887336,0.97944161582192,47.6571706530511
40,0.000726469787239923,0.000726206003879358,99305.3494517197,72.1161409891766,99269.2913812251,4636494.75628932,0.979023936545173,46.6892748667431
41,0.000776737825997956,0.000776436282282993,99233.2333107306,77.0482827507045,99194.7091693552,4537225.46490809,0.978589581871829,45.7228421722449
42,0.000831868443477892,0.000831522584778733,99156.1850279799,82.4506072712642,99114.9597243442,4438030.75573874,0.978137584315228,44.7579821116193
43,0.00089243062097706,0.000892032582381347,99073.7344207086,88.3769991614684,99029.5459211279,4338915.79601439,0.977666905621107,43.7948142500568
44,0.000959069803779095,0.000958610116770799,98985.3574215471,94.8883650364685,98937.9132390289,4239886.25009326,0.97717643057003,42.8334691164163
45,0.00103251925197601,0.00103198647902233,98890.4690565106,102.053626970495,98839.4422430254,4140948.33685423,0.976664960472264,41.8740893471534
46,0.00111358999006523,0.00111297029377604,98788.4154295402,109.948571742285,98733.441143669,4042108.89461121,0.976131206138613,40.9168309567047
47,0.00120315294892959,0.0012024295955727,98678.4668577979,118.653908995556,98619.1399033001,3943375.45346754,0.975573779995067,39.9618638091551
48,0.0013021823600159,0.00130133507222814,98559.8129488023,128.259341302522,98495.6832781511,3844756.31356424,0.974991186848166,39.0093710462035
49,0.00141177441853591,0.00141077856798965,98431.5536074998,138.865126243386,98362.1210443781,3746260.63028609,0.974381813762641,38.0595499409109
50,0.00153316331766412,0.00153198892305417,98292.6884812564,150.583309970499,98217.3968262712,3647898.50924171,0.973743919403475,37.1126130092304
51,0.00166772834360168,0.00166633884334214,98142.1051712859,163.538002014283,98060.3361702788,3549681.11241544,0.973075622422761,36.1687891880884
52,0.00181699050925897,0.00181534128032026,97978.5671692716,177.86453756901,97889.6349004871,3451620.77624516,0.972374888598499,35.2283246833157
53,0.00198264957495772,0.00198068607175857,97800.7026317026,193.712489510815,97703.8463869472,3353731.14134467,0.971639516260249,34.2914830987885
54,0.0021666098402755,0.00216426528104806,97606.9901421918,211.247419952346,97501.3664322156,3256027.29495773,0.97086712015091,33.3585462497554
55,0.00237100463614796,0.00236819713295718,97395.7427222395,230.652318677042,97280.4165629009,3158525.92852551,0.970055113916519,32.4298151052991
56,0.00259821966152301,0.00259484866810893,97165.0904035624,252.128705420368,97039.0260508522,3061245.51196261,0.969200690839884,31.5056107007993
57,0.00285091080312534,0.0028468527415075,96912.9616981421,275.896930697967,96775.0132327931,2964206.48591176,0.968300802509421,30.5862748797676
58,0.00313204315359763,0.00312714597552615,96637.0647674441,302.198208174173,96485.965663357,2867431.47267896,0.967352134983597,29.6721706063756
59,0.00344492861491421,0.0034390050514599,96334.8665592699,331.296092729045,96169.2185129054,2770945.50701561,0.966351082289959,28.7636824130626
60,0.00379326460546096,0.00378608379663143,96003.5704665409,363.477562562134,95821.8316852598,2674776.2885027,0.965293717155599,27.8612167808375
61,0.00418118232960735,0.00417245942280254,95640.0929039787,399.054406834916,95440.5657005613,2578954.45681744,0.964175758512163,26.965202338382
62,0.00461331943321852,0.00460270256462517,95241.0384971438,438.366172148368,95021.8554110696,2483513.89111688,0.962992535425252,26.076089995505
63,0.00509486404497892,0.00508191820381086,94802.6723249955,481.77942625831,94561.7826118663,2388492.03570581,0.961738947484471,25.1943534620813
64,0.00563160937763169,0.00561579639182017,94320.8928987371,529.686930013985,94056.0494337302,2293930.25309395,0.960409421007794,24.3204891577596
65,0.00623002082014166,0.00621067450440688,93791.2059687232,582.506651647523,93499.9526428994,2199874.20366022,0.958997859979888,23.4550156482028
66,0.00689732961976213,0.00687362479182623,93208.6993170756,640.681626439728,92888.3585038558,2106374.25101732,0.957497591231657,22.5984727439645
67,0.00764174203601251,0.00761265506291255,92568.0176906359,704.688388536398,92215.6734963677,2013485.89251346,0.955901303645829,21.751420660671
68,0.0084725114231846,0.00843677110341038,91863.3293020995,775.029882119026,91475.81436104,1921270.21901709,0.954200983558294,20.9144414165401
69,0.00940002151692675,0.0093560479907137,91088.2994199805,852.226500765837,90662.1861695976,1829794.40465605,0.952387845574456,20.0881388313051
70,0.0104359243789197,0.010381752785425,90236.0729192147,936.808601374875,89767.6686185272,1739132.21848645,0.950452255215722,19.2731372523652
71,0.0115933129285188,0.0115264977806484,89299.2643178398,1029.30777197311,88784.6104318532,1649364.54986793,0.948383643483616,18.4700799325446
72,0.0128870575914756,0.0128045510977606,88269.9565458667,1130.25716898866,87704.8279613724,1560579.93943607,0.946170414273204,17.6796273670438
