"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00125216555941581,0.00125138209063802,1e+05,125.138209063802,99937.4308954681,5544113.90767132,0.999374308954681,55.4411390767132
26,0.00129069689555585,0.00128986448351357,99874.8617909362,128.825037019955,99810.4492724262,5444176.47677585,0.981974138237458,54.50997757746
27,0.00133060510044306,0.00132972043404721,99746.0367539162,132.634343286906,99679.7195822728,5344366.02750342,0.981666566155928,53.5797331044693
28,0.00137204450762319,0.00137110389983561,99613.4024106293,136.580324521108,99545.1122483688,5244686.30792115,0.981348635353698,52.6504082884484
29,0.0014151843035382,0.00141418363829459,99476.8220861082,140.678494183716,99406.4828390164,5145141.19567278,0.981019815789931,51.7220100901403
30,0.0014602142292134,0.00145914889422446,99336.1435919245,144.946224078679,99263.6704798852,5045734.71283376,0.980679542298544,50.7945500034889
31,0.00150742479863345,0.0015062894895682,99191.1973678458,149.410658052871,99116.4920388194,4946471.04235388,0.980327211768108,49.868044479896
32,0.00155721229801674,0.00155600078623671,99041.786709793,154.109097990727,98964.7321607976,4847354.55031506,0.979962180878016,48.9425192269453
33,0.00161002038760496,0.00160872534730135,98887.6776118022,159.083113509871,98808.1360550473,4748389.81815426,0.979583764477396,48.0180132937771
34,0.00166634375762764,0.00166495656264021,98728.5944982924,164.378821330176,98646.4050876273,4649581.68209921,0.979191233272955,47.0945799008578
35,0.00172673575745623,0.0017252462352738,98564.2156769622,170.047542029394,98479.1919059475,4550935.27701159,0.978783810709808,46.1722872317777
36,0.00179182851593184,0.00179022462816251,98394.1681349328,176.147663062719,98306.0943034014,4452456.08510564,0.978360669640063,45.2512193507217
37,0.00186234751979864,0.00186061496396692,98218.0204718701,182.745918621171,98126.6475125595,4354149.99080224,0.977920928938018,44.331477766336
38,0.00193911400521962,0.0019372357447376,98035.2745532489,189.917438109719,97940.315834194,4256023.34328968,0.9774636501453,43.413183292285
39,0.00202306071018873,0.00202101639076133,97845.3571151392,197.747070489592,97746.4835798944,4158083.02745548,0.97698783396275,42.4964776056004
40,0.00211524949280401,0.0021130147161507,97647.6100446496,206.33083702129,97544.4446261389,4060336.54387559,0.9764924165933,41.5815250574898
41,0.00221677161658513,0.00221431729871618,97441.2792076283,215.765910158485,97333.396252549,3962792.09924945,0.975976266111914,40.6685147349669
42,0.0023286813168344,0.00232597309179324,97225.5132974698,226.143927765701,97112.4413335869,3865458.7029969,0.975438177473155,39.757657963401
43,0.00245216141027291,0.002449158544238,96999.3693697041,237.566834277509,96880.5859525653,3768346.26166332,0.974876864870321,38.8491831044861
44,0.00258855901471193,0.00258521302646962,96761.8025354266,250.149872379266,96636.727599237,3671465.67571075,0.974290954380131,37.9433369316012
45,0.00273941046138558,0.00273566340890499,96511.6526630473,264.023396723246,96379.6409646857,3574828.94811151,0.973678978333216,37.0403868286493
46,0.00290636388983741,0.00290214654287978,96247.6292663241,279.324724535638,96107.9669040563,3478449.30714683,0.97303936989332,36.140623240929
47,0.00309107181768937,0.00308630182738961,95968.3045417884,296.187153678804,95820.210964949,3382341.34024277,0.972370456367844,35.2443586076897
48,0.00329536258349145,0.0032899418079236,95672.1173881096,314.755698847716,95514.7395386858,3286521.12927782,0.971670449157544,34.3519221587363
49,0.00352128436134895,0.00351509553587938,95357.3616892619,335.19023638716,95189.7665710683,3191006.38973914,0.970937433297538,33.4636606257792
50,0.00377113014900963,0.0037640328201846,95022.1714528748,357.666571993829,94843.3381668778,3095816.62316807,0.970169358833891,32.5799397744073
51,0.00404735712614636,0.00403918311785842,94664.5048808809,382.367269975281,94473.3212458933,3000973.28500119,0.969364032269515,31.7011459445903
52,0.00435239287870383,0.00434294178425662,94282.1376109056,409.461834939435,94077.4066934359,2906499.9637553,0.968519106211951,30.8276841977234
53,0.00468881850815153,0.00467785170931501,93872.6757759662,439.122456836578,93653.1145475479,2812422.55706186,0.967632063352279,29.9599700745072
54,0.00505940832312337,0.00504664181232881,93433.5533191296,471.525676854773,93197.7904807023,2718769.44251431,0.9667001979086,29.0984271274383
55,0.00546712778452716,0.00545222378246288,92962.0276422749,506.849777977183,92708.6027532863,2625571.65203361,0.965720598067884,28.2434852016892
56,0.00591514050610504,0.00589769765097103,92455.1778642977,545.272685310378,92182.5415216425,2532863.04928032,0.964690126555305,27.3955781362291
57,0.00640683719635421,0.00638637895124678,91909.9051789873,586.971483846172,91616.4194370642,2440680.50775868,0.963605398425377,26.555141178806
58,0.00694579938939357,0.00692176080839533,91322.9336951411,632.115503358713,91006.8759434618,2349064.08832162,0.962462756126488,25.7226086950227
59,0.00753577371347175,0.00750748635431022,90690.8181917824,680.860080036036,90350.3881517644,2258057.21237816,0.961258240506973,24.8984104168415
60,0.00818064730288169,0.00814732211852438,90009.9581117464,733.340122611285,89643.2880504408,2167706.82422639,0.959987555826095,24.0829667039197
61,0.0088844712462176,0.00884517887751513,89276.6179891351,789.667655693485,88881.7841612884,2078063.53617595,0.958646027659929,23.2766829992244
62,0.00965166556837722,0.00960531193911906,88486.9503334416,849.944760494042,88061.9779531946,1989181.75201466,0.95722855311496,22.4799447208759
63,0.0104868747318605,0.0104321742794358,87637.0055729476,914.244515464878,87179.8833152151,1901119.77406147,0.955729546652032,21.6931165280289
64,0.0113948708250522,0.0113303170753122,86722.7610574827,982.596380427817,86231.4628672688,1813939.89074625,0.95414287700087,20.9165375805311
65,0.0123805123514409,0.0123043453019473,85740.1646770549,1054.97659243231,85212.6763808387,1727708.42787898,0.952461785912987,20.1505144570983
66,0.0134490843189782,0.0133592494826132,84685.1880846226,1131.3305551045,84119.5228070703,1642495.75149815,0.950678786416844,19.3953132613564
67,0.0146086599498569,0.0145027272445265,83553.8575295181,1211.75880597863,82947.9781265288,1558376.22869107,0.948785546184614,18.6511583638197
68,0.0158694282243123,0.0157445001170447,82342.0987235395,1296.43518299048,81693.8811320442,1475428.25056455,0.946772816089347,17.9182735615987
69,0.0172430923769511,0.0170957010011454,81045.663540549,1385.53243132865,80352.8973248847,1393734.3694325,0.944630393852913,17.1969024442028
70,0.0187431139982851,0.0185690926877396,79660.1311092203,1479.2163580846,78920.522930178,1313381.47210762,0.942347050422813,16.4873124588116
71,0.0203850046333236,0.0201793267981844,78180.9147511357,1577.63822814417,77392.0956370637,1234460.94917744,0.939910433787731,15.7897992509675
72,0.0221866784097221,0.0219432544449062,76603.2765229916,1680.92518805751,75762.8139289628,1157068.85354038,0.93730697136379,15.1046914186901
73,0.0241688611114439,0.0238802815079104,74922.3513349341,1789.16684111279,74027.7679143777,1081306.03961141,0.934521775694553,14.4323559037479
74,0.0263555768123498,0.0260127858248942,73133.1844938213,1902.39786493025,72181.9855613562,1007278.27169704,0.931538560590135,13.7732040341021
75,0.0287747345106425,0.0283666136226634,71230.786628891,2020.57620234013,70220.498527721,935096.286135679,0.928339578456561,13.1276984347721
76,0.0314585721424669,0.0309714139129988,69210.2104265509,2143.53807412645,68138.4413894877,864875.787607958,0.92490559574575,12.496361191183
77,0.0344411419879656,0.0338580864072688,67066.6723524244,2270.74918755637,65931.2977586463,796737.34621847,0.921215922140747,11.8797804971111
78,0.0377588648400067,0.0370592080265309,64795.9231648681,2401.28559583796,63595.2803669491,730806.048459824,0.917248390487061,11.2785807002139
79,0.0414528694542041,0.0406111452039417,62394.6375690301,2533.9176862632,61127.6787258985,667210.768092875,0.912979263785547,10.6933992100637
80,0.0455696805542562,0.0445545130898781,59860.7198827669,2667.06522758627,58527.1872689738,606083.089366976,0.908383255113488,10.1248880827686
81,0.0501618234646016,0.0489345015505481,57193.6546551806,2798.74298240545,55794.2831639779,547555.902098003,0.903433723369344,9.57371766849322
82,0.0552859397211794,0.0537987816222588,54394.9116727752,2926.37997444569,52931.7216855524,491761.618934025,0.898103037607306,9.04058125679709
83,0.0610026653008241,0.0591970756058389,51468.5316983295,3046.78656226753,49945.1384171957,438829.897248472,0.892363048177101,8.52617867205866
84,0.0673788640051669,0.0651828894822237,48421.745136062,3156.26926174033,46843.6105051918,388884.758831277,0.886185652503717,8.03120081150598
85,0.0744881767169754,0.0718135466405581,45265.4758743217,3250.67436290766,43640.1386928678,342041.148326085,0.879543722294564,7.55633607555022
86,0.0824114892068712,0.0791500523638191,42014.801511414,3325.47373968388,40352.0646415721,298401.009633217,0.872412606183676,7.10228297882477
87,0.091237080190151,0.0872565631648565,38689.3277717301,3375.8977725198,37001.3788854702,258048.944991645,0.864772358876496,6.66977070561041
88,0.101060835464533,0.0961998184523669,35313.4299992103,3397.1455548544,33614.8572217831,221047.566106175,0.856611004991056,6.25958923024803
89,0.111986810595859,0.106048778367384,31916.2844443559,3384.68297534989,30223.942956681,187432.708884392,0.847929304023022,5.87263561995034
90,0.124127483326175,0.116873854606695,28531.601469006,3334.59824178479,26864.3023481136,157208.765927711,0.838747766403338,5.50998744667337
91,0.134912993861609,0.126387346228644,25197.0032272212,3184.58237080306,23604.7120418197,130344.463579597,0.829117020354535,5.17301452098006
92,0.148123271087068,0.137909470169381,22012.4208564182,3035.72129745407,20494.5602076911,106739.751537777,0.818905142623069,4.84906917935176
93,0.162384256091889,0.150190009601132,18976.6995589641,2850.11068895863,17551.6442144848,86245.1913300861,0.807995054209605,4.54479405452494
94,0.177731797489252,0.163226525593429,16126.5888700055,2632.28707092466,14810.4453345431,68693.5471156014,0.79649132961733,4.25964521507505
95,0.194193594632169,0.177006801138459,13494.3017990808,2388.58319505225,12300.0102015547,53883.1017810582,0.784398302949485,3.99302628497078
96,0.211787395553607,0.191507914349604,11105.7186040286,2126.83300721111,10042.302100423,41583.0915795035,0.771727873953267,3.74429544472876
97,0.230519186502728,0.206695542363089,8978.88559681746,1855.89562825031,8050.9377826923,31540.7894790805,0.758500349084845,3.51277328784099
98,0.250381452739056,0.222523565890843,7122.98996856715,1585.03312761027,6330.47340476201,23489.8516963882,0.744745204046586,3.29775161835774
99,0.271351604104137,0.238934036997027,5537.95684095688,1323.20638472513,4876.35364859431,17159.3782916262,0.730501772144633,3.09850343446543
100,0.293390668747868,0.255857558632217,4214.75045623175,1078.37576197548,3675.56257524401,12283.0246430319,0.715819911087689,2.91429463513569
101,0.316442362146661,0.273214103936013,3136.37469425627,856.901801698814,2707.92379340686,8607.46206778789,0.70076079124948,2.74439851958727
102,0.340432634272573,0.290914277375373,2279.47289255746,663.131209335103,1947.90728788991,5899.53827438103,0.68539811478916,2.58811512680988
103,0.365269784018866,0.308860990392589,1616.34168322235,499.224893092881,1366.72923667591,3951.63098649112,0.66982038300374,2.44479928192727
104,0.390845206190488,0.326951494123077,1117.11679012947,365.243003642807,934.495288308069,2584.90174981521,0.654135408557085,2.31390466301703
105,0.417034803142976,0.3450796840829,751.873786486666,259.456368711032,622.14560213115,1650.40646150714,0.63847937803637,2.19505785567962
106,0.443701052475554,0.363138569692123,492.417417775634,178.815756782532,403.009539384367,1028.26085937599,0.623034921007877,2.08818945524082
107,0.470695677353336,0.38102278776604,313.601660993101,119.489379119652,253.856971433275,625.251319991622,0.60806682885028,1.99377553681189
108,0.497862821382956,0.39863103539634,194.112281873449,77.3791799063594,155.42269192027,371.394348558347,0.593992106347449,1.91329649506915
109,0.525042590328299,0.415868304431281,116.73310196709,48.5455971860575,92.4603033740613,215.971656638077,0.581515732472562,1.85013207906498
110,0.552074792956694,1,68.1875047810325,68.1875047810325,123.511353264016,123.511353264016,0.571886863242405,1.81134877512591
