"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00107437443681985,0.0010737976064705,1e+05,107.37976064705,99946.3101196765,5276454.2607207,0.999463101196765,52.764542607207
26,0.00110269892285142,0.00110209128541476,99892.620239353,110.090786243037,99837.5748462314,5176507.95060103,0.981058054295343,51.8207244759181
27,0.00113669600361616,0.00113605033168019,99782.5294531099,113.357975681094,99725.8504652694,5076670.3757548,0.980713334974277,50.8773470023171
28,0.00122615237541045,0.0012254011111688,99669.1714774288,122.134713477715,99608.10412069,4976944.52528953,0.980356051686645,49.9346432955612
29,0.00119449230457382,0.0011937793244656,99547.0367639511,118.837194300622,99487.6181668008,4877336.42116884,0.97998609315122,48.9952948849107
30,0.00121782659045911,0.00121708549092226,99428.1995696505,121.012619084744,99367.6932601081,4777848.80300204,0.979602059489889,48.0532567589651
31,0.0012480278804719,0.00124724957934743,99307.1869505657,123.86084715027,99245.2565269906,4678481.10974193,0.979202419884515,47.1112036641501
32,0.00137698898408813,0.00137604158703463,99183.3261034155,136.480381458717,99115.0859126861,4579235.85321494,0.978786863898983,46.1694120687212
33,0.00139653263258797,0.00139555816133148,99046.8457219567,138.225633901417,98977.732905006,4480120.76730225,0.978355540293235,45.2323416727353
34,0.00151717199140802,0.00151602195838121,98908.6200880553,149.947639926677,98833.646268092,4381143.03439724,0.977907351599228,44.2948554989125
35,0.00146001358515315,0.00145894854280688,98758.6724481287,144.083821257739,98686.6305374998,4282309.38812915,0.977441127693817,43.3613502690446
36,0.00166142227816237,0.00166004326173349,98614.5886268709,163.704483358657,98532.7363851916,4183622.75759165,0.976954810689049,42.4239741385655
37,0.00173249281701617,0.00173099335024337,98450.8841435123,170.417825778,98365.6752306233,4085090.02120646,0.976447987284132,41.4936854731706
38,0.00176266406334743,0.00176111193898425,98280.4663177343,173.082902601101,98193.9248664337,3986724.34597584,0.975920805974902,40.5647683140515
39,0.00184243496204584,0.00184073924087914,98107.3834151332,180.590110472211,98017.0883598971,3888530.4211094,0.975369773190978,39.6354513365769
40,0.00195625272965497,0.00195434113706294,97926.793304661,191.382360575959,97831.102124373,3790513.33274951,0.974793282359886,38.70762234557
41,0.00194987059949658,0.00194797145336379,97735.410944085,190.385790501857,97640.2180488341,3692682.23062513,0.974190540030785,37.7824392915045
42,0.00217132812903893,0.0021689733526131,97545.0251535831,211.572560238096,97439.2388734641,3595042.0125763,0.973558456441484,36.8552061667518
43,0.00240078846947629,0.00239791003209834,97333.452593345,233.39686243235,97216.7541621289,3497602.77370284,0.972896216919691,35.9342310430071
44,0.00282991278019577,0.00282591423479139,97100.0557309127,274.396429689023,96962.8575160682,3400386.01954071,0.972204746950378,35.0194033766982
45,0.00277464590233246,0.00277080190525617,96825.6593012237,268.284721269515,96691.5169405889,3303423.16202464,0.97148474997872,34.1172286960394
46,0.00303962432427513,0.00303501167661678,96557.3745799542,293.052759313621,96410.8482002974,3206731.64508405,0.970729902831665,33.2106341854678
47,0.00314668614615233,0.0031417431063985,96264.3218206405,302.437769472124,96113.1029359045,3110320.79688375,0.969934856149221,32.3102135667552
48,0.00345280853112156,0.00344685786100754,95961.8840511684,330.766974398864,95796.500563969,3014207.69394785,0.969098652771701,31.4104680598041
49,0.00364759204752704,0.00364095169430425,95631.1170767696,348.188277748873,95457.0229378951,2918411.19338388,0.968218347807845,30.5173805618214
50,0.00407975791635145,0.00407145264577014,95282.9287990207,387.9399325555,95088.9588327429,2822954.17044598,0.967291441605522,29.6270717748445
51,0.00447634830853478,0.00446635183529317,94894.9888664652,423.834407683861,94683.0716626233,2727865.21161324,0.966315797887105,28.7461460736547
52,0.00491576171962283,0.0049037089871612,94471.1544587813,463.25904914702,94239.5249342078,2633182.13995062,0.965290414181928,27.8728692904827
53,0.00523262740210588,0.0052189729317192,94007.8954096343,490.624661510771,93762.5830788789,2538942.61501641,0.964210783787264,27.007759337161
54,0.00563963963963964,0.00562378158885306,93517.2707481235,525.920705473084,93254.310395387,2445180.03193753,0.963070223594529,26.1468284133666
55,0.00620518213978392,0.00618598954386667,92991.3500426505,575.243519033881,92703.7282831335,2351925.72154214,0.961861985957127,25.2918762924017
56,0.00676143215832032,0.00673865069356873,92416.1065236166,622.75986032229,92104.7265934554,2259221.99325901,0.960583904740687,24.4461931825885
57,0.00740414925591965,0.00737683964503524,91793.3466632943,677.144798816253,91454.7742638862,2167117.26666555,0.959231661665709,23.6086529736705
58,0.00815574565278286,0.00812262263067819,91116.201864478,740.102523285852,90746.1506028351,2075662.49240167,0.957798880720191,22.7803886677466
59,0.00884076686202444,0.00880185926914899,90376.0993411922,795.477707695802,89978.3604873443,1984916.34179883,0.956280873728254,21.9628458881068
60,0.00953044034058484,0.00948524107847759,89580.6216334964,849.693792153598,89155.7747374196,1894937.98131149,0.95466894065379,21.1534363878864
61,0.0105691965671846,0.0105136362232449,88730.9278413428,932.884697074871,88264.4854928053,1805782.20657407,0.952950557951393,20.3512151907499
62,0.011764549843493,0.0116957522135563,87798.0431442679,1026.86415745048,87284.6110655427,1717517.72108126,0.951121189935601,19.5621412456662
63,0.0122609322114535,0.012186224972304,86771.1789868174,1057.41310824542,86242.4724326947,1630233.11001572,0.94917979011559,18.78772570629
64,0.0141233056405772,0.0140242711069622,85713.765878572,1202.07309027978,85112.7293334321,1543990.63758303,0.94709807333513,18.0133333514986
65,0.015105552184938,0.0149923185597493,84511.6927882922,1267.02622030574,83878.1796781394,1458877.90824959,0.944874841037464,17.2624386060304
66,0.0168455849207807,0.0167048831568752,83244.6665679865,1390.59242845125,82549.3703537609,1374999.72857145,0.942505003877412,16.5175714584487
67,0.018571305174052,0.0184004450340194,81854.0741395353,1506.15139201507,81100.9984435277,1292450.35821769,0.939964082436929,15.7896888066253
68,0.0205009718707595,0.020292959178117,80347.9227475202,1630.49711636193,79532.6741893392,1211349.35977417,0.93725020235565,15.0762996522092
69,0.0223781022454348,0.0221304831382307,78717.4256311583,1742.05466061528,77846.3983008506,1131816.68558483,0.93434373531665,14.3782228205495
70,0.0243588195031606,0.0240657133196762,76975.370970543,1852.46721045281,76049.1373653166,1053970.28728398,0.931219958768653,13.692305395804
71,0.0270595568164722,0.026698334269931,75122.9037600902,2005.65639591474,74120.0755621328,977921.14991866,0.927845084170929,13.0176164787468
72,0.0302912710007305,0.0298393353046333,73117.2473641754,2181.77006065145,72026.3623338497,903801.074356527,0.92420649091361,12.3609833102026
73,0.0331024444109823,0.0325634790337115,70935.477303524,2309.90592791962,69780.5243395642,831774.712022678,0.920307284005908,11.7257928421856
