"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000355348576834661,0.000355285451744837,1e+05,35.5285451744837,99982.2357274128,6207105.40327152,0.999822357274128,62.0710540327152
26,0.000379842278876085,0.000379770152495999,99964.4714548255,37.963522568581,99945.4896935412,6107123.16754411,0.983892292907622,61.0929371071996
27,0.000406072398639836,0.000405989967979775,99926.5079322569,40.5691597557478,99906.2233523791,6007177.67785056,0.983634603895874,60.1159572385238
28,0.000434186181132915,0.000434091942771469,99885.9387725012,43.359681217307,99864.2589318925,5907271.45449819,0.983368858270873,59.1401705494555
29,0.000464346091160166,0.00046423830753843,99842.5790912839,46.3507499376095,99819.4037163151,5807407.19556629,0.983094689366975,58.1656368297208
30,0.00049673206573965,0.000496608725000733,99796.2283413463,49.559677716478,99771.448502488,5707587.79184998,0.982811709192267,57.1924198610749
31,0.000531552649863809,0.000531411413291358,99746.6686636298,53.0065181656443,99720.165404547,5607816.34334749,0.982519506989458,56.2205877998635
32,0.000569049379863574,0.000568887517319103,99693.6621454642,56.7144799503825,99665.304905489,5508096.17794294,0.982217647779631,55.2502140999296
33,0.000609493830257551,0.000609308145479853,99636.9476655138,60.7096038033474,99606.5928636121,5408430.87303745,0.981905670909561,54.2813785423639
34,0.00065319143667497,0.00065297817679826,99576.2380617104,65.0211103819651,99543.7275065194,5308824.28017384,0.981583088477625,53.31416795324
35,0.000700484807076233,0.000700239553491965,99511.2169513285,69.6816901254403,99476.3761062657,5209280.55266732,0.981249383619972,52.3486769859845
36,0.000751716406090512,0.000751433973467538,99441.535261203,74.7237479690381,99404.1733872185,5109804.17656106,0.980904008701292,51.3850089214646
37,0.000807212039057293,0.000806886374859324,99366.811513234,80.1777263232431,99326.7226500724,5010400.00317384,0.980546383001683,50.4232743998889
38,0.000867319642941894,0.000866943684298536,99286.6337869108,86.0759200968239,99243.5958268624,4911073.28052376,0.980175889632134,49.4635893393659
39,0.000932413045469813,0.000931978550990293,99200.5578668139,92.4527921781419,99154.3314707249,4811829.6846969,0.97979187233462,48.5060748464463
40,0.00100289313999012,0.00100239049471475,99108.1050746358,99.3450224760053,99058.4325633978,4712675.35322618,0.979393632366901,47.5508572147271
41,0.00107917578207757,0.00107859378593133,99008.7600521598,106.790233345026,98955.3649354873,4613616.92066278,0.978980425100663,46.5980678702797
42,0.00116168082465964,0.00116100646518569,98901.9698188148,114.825826379244,98844.5569056251,4514661.55572729,0.978551456127122,45.6478426465925
43,0.00125084581441928,0.00125006399576086,98787.1439924355,123.490251948987,98725.398866461,4415816.99882167,0.978105876667492,44.7003205109341
44,0.00134712624290133,0.00134621947910683,98663.6537404865,132.822932545294,98597.2422742139,4317091.59995521,0.977642778472748,43.7556428967286
45,0.00145099419309385,0.00144994226419102,98530.8308079412,142.864015914289,98459.3987999841,4218494.35768099,0.977161188269613,42.8139529839527
46,0.00156296828401682,0.00156174780287505,98387.9667920269,153.657190966792,98311.1381965435,4120034.95888101,0.976660061516804,41.8753948599219
47,0.00168365615505558,0.00168223999819196,98234.3096010601,165.253684805676,98151.6827586573,4021723.82068447,0.976138275723941,40.9401138667041
48,0.00181371487700469,0.00181207158640746,98069.0559162545,177.708149731649,97980.2018413886,3923572.13792581,0.975594623814334,40.0082584793752
49,0.00195384736752889,0.00195194047065381,97891.3477665228,191.078083432322,97795.8087248066,3825591.93608442,0.975027806703412,39.0799802369531
50,0.00210480515926591,0.00210259238561537,97700.2696830905,205.423843108235,97597.5577615364,3727796.12735961,0.974436424386417,38.1554333417035
51,0.00226741700304057,0.00226484932410716,97494.8458399823,220.811135704616,97384.44027213,3630198.56959808,0.97381896583742,37.2347741905895
52,0.00244264545705258,0.00243966583771496,97274.0347042776,237.316139364726,97155.3766345953,3532814.12932595,0.973173797960338,36.3181617794105
53,0.00263155423587206,0.00262809624696657,97036.7185649129,255.021835878398,96909.2076469737,3435658.75269135,0.972499154193223,35.4057598350573
54,0.00283530894137957,0.00283129514316203,96781.6967290345,274.017547895896,96644.6879550866,3338749.54504438,0.971793121895165,34.4977372569947
55,0.00305518799457747,0.00305052802627597,96507.6791811386,294.399380092913,96360.4794910921,3242104.85708929,0.971053627517963,33.594268192939
56,0.00329253820429901,0.00328712670916286,96213.2798010457,316.265241810177,96055.1471801406,3145744.3775982,0.97027841981101,32.6955320939387
57,0.00354861712667944,0.0035423319367898,95897.0145592355,339.699057315976,95727.1650305775,3049689.23041806,0.969465050032616,31.8017119139227
58,0.00382470082885111,0.00381740062119115,95557.3155019195,364.780555556386,95374.9252241413,2953962.06538748,0.968610845959063,30.912987141504
59,0.00412211750086465,0.00411363904910637,95192.5349463632,391.587728938782,94996.7410818938,2858587.14016334,0.967712880831586,30.029530590545
60,0.00444224393448819,0.00443239903562258,94800.9472174244,420.195627022619,94590.8494039131,2763590.39908144,0.96676793939664,29.1515061842494
61,0.00478653217968117,0.00477510408499909,94380.7515904017,450.677912464611,94155.4126341695,2668999.54967753,0.965772478643958,28.2790664908093
62,0.00515663872767643,0.00514337745798099,93930.0736779371,483.117823581595,93688.5147661463,2574844.13704336,0.964722582045566,27.4123508714777
63,0.00555435970220083,0.00553897696697244,93446.9558543555,517.600536110966,93188.1555863001,2481155.62227722,0.963613908345642,26.5514868792975
64,0.00598159905754464,0.00596376263905404,92929.3553182446,554.208617318325,92652.2510095854,2387967.46669092,0.962441632137217,25.6965891833976
65,0.00644037312922961,0.00641970049594372,92375.1467009263,593.02077508881,92078.6363133819,2295315.21568133,0.961200371319138,24.8477571907154
66,0.0069331564879143,0.00690920518752818,91782.1259258374,634.14154056916,91465.0551555529,2203236.57936795,0.959884099715668,24.0050724162592
