"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000463131710898412,0.000463024490236237,1e+05,46.3024490236237,99976.8487754882,5402804.81604032,0.999768487754882,54.0280481604032
26,0.00049218132859683,0.000492060237166191,99953.6975509764,49.1832401225712,99929.1059309151,5302827.96726483,0.981495380236823,53.0528444389002
27,0.000523472468385714,0.000523335492524682,99904.5143108538,52.2835782023098,99878.3725217527,5202898.86133392,0.981155506731919,52.0787163345297
28,0.00055740774891263,0.000557252440498413,99852.2307326515,55.6428992649807,99824.409283019,5103020.48881216,0.9808033223048,51.1057234412239
29,0.000594463172128459,0.000594286531400154,99796.5878333865,59.3077680290741,99766.933949372,5003196.07952914,0.980438171960729,50.1339393274862
30,0.000635199670460586,0.000634997995201938,99737.2800653575,63.3329728883962,99705.6135789133,4903429.14557977,0.980059359584652,49.1634536490926
31,0.000680231262830304,0.000679999984206313,99673.9470924691,67.7782824486599,99640.0579512447,4803723.53200086,0.979666145748472,48.1943744792646
32,0.000730235103840199,0.000729968579499473,99606.1688100204,72.7093735556353,99569.8141232426,4704083.47404962,0.979257745103882,47.2268287220418
33,0.000786007012003251,0.000785698229844263,99533.4594364647,78.2032628895061,99494.35780502,4604513.65992637,0.978833323287623,46.2609627556005
34,0.000848487658789084,0.000848127845783972,99455.2561735752,84.3507721703875,99413.08078749,4505019.30212135,0.978391994214084,45.2969453344821
35,0.00091878511688439,0.00091836322765166,99370.9054014048,91.2585854191019,99325.2761086953,4405606.22133386,0.977932818014636,44.3349711219556
36,0.000997955566748571,0.000997457857437858,99279.6468159857,99.0272638002604,99230.1331840856,4306280.94522517,0.977454799380907,43.3752645515232
37,0.00108689217625345,0.00108630182977353,99180.6195521855,107.740088497612,99126.7495079367,4207050.81204108,0.976956883573954,42.418073521183
38,0.00118653842081929,0.00118583490148361,99072.8794636879,117.48407825852,99014.1374245586,4107924.06253315,0.976437948116951,41.463658720435
39,0.00129789427003416,0.0012970525514969,98955.3953854294,128.350348069055,98891.2202113948,4008909.92510859,0.975896794605424,40.5122925283049
40,0.00142200433598912,0.00142099400617003,98827.0450373603,140.432638645584,98756.8287180375,3910018.70489719,0.975332142138685,39.5642579763369
41,0.00155991319079722,0.00155869747442181,98686.6123987147,153.822573505121,98609.7011119621,3811261.87617915,0.974742619876895,38.6198470445095
42,0.00171261448435447,0.00171114921488931,98532.7898252096,168.604305950261,98448.4876722345,3712652.17506719,0.974126757930678,37.679357112015
43,0.00188104532753042,0.0018792778241453,98364.1855192593,184.853632536458,98271.7587029911,3614203.68739496,0.97348297577312,36.7430855886802
44,0.00206604686499688,0.00206391479265339,98179.3318867229,202.633775413834,98078.014999016,3515931.92869197,0.972809568247156,35.8113246558713
45,0.00226831567402229,0.00226574596048453,97976.698111309,221.990307967311,97865.7029573254,3417853.91369295,0.972104688888131,34.88435494948
46,0.00248859641731237,0.00248550370949903,97754.7078033417,242.9696888662,97633.2229589086,3319988.21073563,0.97136632944865,33.9624380793467
