"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.000452980612429788,0.000452878039943843,1e+05,45.2878039943843,99977.3560980028,5561749.85625202,0.999773560980028,55.6174985625202
26,0.000464532912156826,0.000464425041798254,99954.7121960056,46.4214713895623,99931.5014603108,5461772.50015402,0.982024118545062,54.6424713768751
27,0.000410921377043192,0.000410836966197247,99908.290724616,41.0460190592539,99887.7677150864,5361840.99869371,0.981703466876826,53.6676281798566
28,0.00065167807103291,0.000651465798045603,99867.2447055568,65.060094270721,99834.7146584214,5261953.23097862,0.981370621072236,52.6894803846114
29,0.000612052730696799,0.000611865483726731,99802.1846112861,61.0655119641691,99771.651855304,5162118.5163202,0.981027061572751,51.7235022101555
30,0.00057344929752461,0.000573284922606535,99741.1190993219,57.180079743544,99712.5290594501,5062346.8644649,0.980672343817781,50.754863291877
31,0.000576519916142558,0.000576353776427131,99683.9390195783,57.4532147030658,99655.2124122268,4962634.33540545,0.980303102152209,49.7836901733063
32,0.000585573595954219,0.000585402197919161,99626.4858048753,58.3215637611361,99597.3250229947,4862979.12299322,0.979918888703678,48.8121113949324
33,0.0005993243979514,0.000599144856886081,99568.1642411141,59.6557535146521,99538.3363643568,4763381.79797023,0.97951927768884,47.8404099771813
34,0.000697188008366256,0.000696945057497967,99508.5084875995,69.351963169427,99473.8325060148,4663843.46160587,0.979103431010554,46.8687907445329
35,0.000840184840664946,0.000839832033593281,99439.1565244301,83.5121890427127,99397.4004299087,4564369.62909986,0.978671275456624,45.9011297825971
36,0.000755572346052134,0.000755287009063444,99355.6443353873,75.042027443646,99318.1233216655,4464972.22866995,0.978223192136718,44.9392911548928
37,0.000854139290407359,0.000853774669162316,99280.6023079437,84.7632633897001,99238.2206762488,4365654.10534828,0.977756161016202,43.9728809441255
38,0.00109649122807018,0.0010958904109589,99195.839044554,108.70776881595,99141.485160146,4266415.88467203,0.977268418825332,43.0100287044879
39,0.00100963031997515,0.00100912090044634,99087.1312757381,99.9908951356177,99037.1358281702,4167274.39951189,0.976762348575456,42.0566661468406
40,0.00131334981458591,0.00131248793669176,98987.1403806024,129.919427637154,98922.1806667839,4068237.26368372,0.976234553731386,41.0986442081413
41,0.00168222726890403,0.00168081351374065,98857.2209529653,166.160552908589,98774.140676511,3969315.08301693,0.975684264644582,40.1519994670442
42,0.00146020929666586,0.0014591439688716,98691.0604000567,144.004465564285,98619.0581672745,3870540.94234042,0.975115570668823,39.2187592944153
43,0.00143017672898151,0.00142915475704369,98547.0559344924,140.838993781431,98476.6364376017,3771921.88417315,0.974520600702484,38.2753380951377
44,0.00159435144061041,0.00159308147473828,98406.216940711,156.769121207323,98327.8323801073,3673445.24773554,0.973892185612113,37.3294021651983
45,0.00181276705943286,0.0018111254851229,98249.4478195036,177.942078845155,98160.4767800811,3575117.41535544,0.973232803063903,36.3881680223116
