"Edad","Mx","qx","lx","dx","Lx","Tx","P_x1","e_0"
25,0.00163782386486966,0.0016364837288169,1e+05,163.64837288169,99918.1758135592,5692153.84405622,0.999181758135592,56.9215384405622
26,0.00145346020425961,0.00145240469804506,99836.3516271183,145.002786138906,99763.8502340488,5592235.66824266,0.982446332521758,56.0140227191922
27,0.0014954954954955,0.00149437807765365,99691.3488409794,148.976566239682,99616.8605578596,5492471.81800862,0.982160292206462,55.0947688226169
28,0.00147315092610891,0.00147206663794342,99542.3722747397,146.533005287388,99469.105772096,5392854.95745076,0.981863018353369,54.1764761499387
29,0.0015734912995187,0.00157225433526012,99395.8392694523,156.275539198214,99317.7014998532,5293385.85167866,0.981555390130664,53.2556079870588
30,0.00149823422395034,0.00149711271119983,99239.5637302541,148.572812314489,99165.2773240969,5194068.15017881,0.981237396199191,52.3386838367907
31,0.00163921629849348,0.00163787388371095,99090.9909179396,162.298546135533,99009.8416448718,5094902.87285471,0.980907975317828,51.4164085519536
32,0.00160035728906919,0.00159907774120972,98928.6923718041,158.194669938736,98849.5950368347,4995893.03120984,0.980566883389988,50.4999400217861
33,0.00155703321060248,0.00155582197735821,98770.4977018653,153.669311039171,98693.6630463458,4897043.436173,0.980213828755077,49.5800218700378
34,0.00174647887323944,0.00174495510962258,98616.8283908262,172.081938595346,98530.7874215285,4798349.77312666,0.979846275751339,48.6565006340543
35,0.00160042678047479,0.00159914712153518,98444.7464522308,157.427632919346,98366.0326357711,4699818.98570513,0.979465692981918,47.7406784524115
36,0.00167812779307955,0.00167672091709344,98287.3188193115,164.800403349371,98204.9186176368,4601452.95306936,0.979070250804348,46.8163442481174
37,0.00174653016480556,0.00174500631172496,98122.5184159621,171.224413958202,98036.906208983,4503248.03445172,0.978657845767579,45.8941342634674
38,0.00175519630484988,0.00175365729844478,97951.2940020039,171.773001618725,97865.4075011945,4405211.12824274,0.978229734303116,44.9734857831752
39,0.00179746060884198,0.00179584662705615,97779.5210003852,175.597022983708,97691.7224888933,4307345.72074154,0.97778417318667,44.051614046305
40,0.00201506407121197,0.00201303587308102,97603.9239774015,196.480200319982,97505.6838772415,4209653.99825265,0.977319739620976,43.1299667749764
41,0.00228976303112782,0.00228714452164157,97407.4437770815,222.784901401861,97296.0513263805,4112148.31437541,0.976837601399613,42.2159555258028
42,0.00186580950269711,0.00186407050246851,97184.6588756796,181.159055902619,97094.0793477283,4014852.26304903,0.976339362326439,41.311584662605
43,0.00249264026473559,0.00248953750402404,97003.499819777,241.493850822924,96882.7528943655,3917758.1837013,0.97581627592095,40.3878024089864
44,0.00286561761600724,0.0028615176083737,96762.0059689541,276.886183901724,96623.5628770032,3820875.43080693,0.975270869627069,39.4873524225289
45,0.00306792579454484,0.00306322691810654,96485.1197850523,295.555816122307,96337.3418769912,3724251.86792993,0.974711668928553,38.5992355735967
46,0.0031661600810537,0.0031611557185307,96189.56396893,304.070190203357,96037.5288738284,3627914.52605294,0.974132431077885,37.7163007748406
47,0.00291793627020606,0.00291368529620318,95885.4937787267,279.380153342258,95745.8037020556,3531876.99717911,0.973528172126394,36.8343203751921
48,0.00340624384201785,0.00340045245689716,95606.1136253844,325.104043971827,95443.5616033985,3436131.19347706,0.972890957477135,35.9404965140715
49,0.00402905999175153,0.00402095964792857,95281.0095814126,383.121094740756,95089.4490340422,3340687.63187366,0.972223539722644,35.0614214369676
50,0.00430313172364332,0.00429389312977099,94897.8884866718,407.481391402694,94694.1477909705,3245598.18283962,0.971535965192678,34.2009525669842
51,0.00502795392292972,0.00501534545998952,94490.4070952692,473.90203423782,94253.4560781503,3150904.03504865,0.97082382277275,33.3462848971724
52,0.00362586234557998,0.00361930080233173,94016.5050610313,340.274012199816,93846.3680549314,3056650.5789705,0.970086852842951,32.5118507328714
53,0.00464898230261359,0.00463820084578957,93676.2310488315,434.489174081069,93458.986461791,2962804.21091556,0.969297646024512,31.6281321071843
54,0.00514937267563039,0.0051361487037339,93241.7418747504,478.90345166389,93002.2901489185,2869345.22445377,0.968455901973722,30.7731834129407
