"Edad","esc_bajo","esc_medio","esc_alto","year"
25,58145,14939,206579,2002
26,61645,14910,214416,2002
27,68657,15581,231403,2002
28,69691,15607,233309,2002
29,67633,15142,225192,2002
30,72188,15979,233601,2002
31,64774,15010,212094,2002
32,71551,15409,223591,2002
33,72161,15695,224021,2002
34,71778,14952,218616,2002
35,73511,14040,217446,2002
36,79782,14086,230816,2002
37,79406,13622,230538,2002
38,82322,13912,236122,2002
39,78851,13780,227552,2002
40,78735,13644,225846,2002
41,68786,12756,199436,2002
42,85836,14331,239025,2002
43,71384,12555,202061,2002
44,61386,10764,175438,2002
45,60354,13400,175580,2002
46,57689,13026,167916,2002
47,57429,12709,166889,2002
48,56507,11996,162404,2002
49,50558,11393,148199,2002
50,47092,12139,141175,2002
51,42252,12771,129395,2002
52,51526,16281,153021,2002
53,41490,14363,124939,2002
54,40066,14249,120467,2002
55,35101,13561,106097,2002
56,37263,14580,111208,2002
57,34448,13834,103070,2002
58,35008,13787,102597,2002
59,31610,13010,93060,2002
60,31566,12654,91964,2002
61,27232,11174,78968,2002
62,33235,12477,93013,2002
63,28122,10071,77189,2002
64,27225,9472,74012,2002
65,30401,10689,82251,2002
66,24208,8313,65311,2002
67,25069,8830,66950,2002
68,20927,7658,56876,2002
69,19549,7759,53779,2002
70,21365,7987,58139,2002
71,19526,7345,53051,2002
72,24170,8062,63172,2002
73,19850,6392,51600,2002
74,17879,5713,46355,2002
75,16307,5375,42843,2002
76,13664,4430,35616,2002
77,12642,3754,32268,2002
78,12546,3602,31674,2002
79,9389,2980,24436,2002
80,9638,2915,24701,2002
81,7336,2225,19025,2002
82,8367,2304,21000,2002
83,6008,1711,15345,2002
84,5815,1626,14608,2002
85,4963,1335,12599,2002
86,4386,1182,11136,2002
87,3812,944,9548,2002
88,3023,765,7685,2002
89,2276,679,5939,2002
90,1830,513,4793,2002
91,1324,386,3546,2002
92,1433,356,3684,2002
93,999,230,2508,2002
94,688,200,1828,2002
95,565,156,1478,2002
96,461,133,1191,2002
97,332,78,886,2002
98,319,73,795,2002
99,306,58,786,2002
100,53,23,145,2002
101,41,10,110,2002
102,45,11,119,2002
103,36,6,94,2002
104,24,7,69,2002
105,37,9,103,2002
106,29,5,83,2002
107,23,8,72,2002
108,24,5,65,2002
109,NA,NA,NA,2002
110,NA,NA,NA,2002
