"Edad","esc_bajo","esc_medio","esc_alto","year"
25,20154,76165,26982,1992
26,22255,77073,25284,1992
27,22985,79502,25228,1992
28,23045,77416,24082,1992
29,22940,77046,23148,1992
30,25428,79531,23060,1992
31,21223,69776,20255,1992
32,25317,75736,20018,1992
33,23391,70276,18838,1992
34,21994,63717,18150,1992
35,25270,60433,17380,1992
36,27541,55819,16591,1992
37,28416,50619,15945,1992
38,30793,50531,13612,1992
39,29632,43447,12400,1992
40,32277,41706,12597,1992
41,28029,34196,10426,1992
42,38262,40436,11116,1992
43,33584,34198,8241,1992
44,31773,30929,7300,1992
45,31607,29444,6764,1992
46,33285,29892,6122,1992
47,33942,29009,5520,1992
48,34034,27588,5122,1992
49,31695,24792,4373,1992
50,34066,26080,4525,1992
51,28183,21202,3419,1992
52,35898,24136,3804,1992
53,29798,19011,2869,1992
54,30278,18359,2711,1992
55,29001,16994,2654,1992
56,28390,16800,2356,1992
57,27385,15519,2051,1992
58,27923,15879,2123,1992
59,27208,14978,1920,1992
60,31415,18188,2259,1992
61,25017,13797,1669,1992
62,32592,17091,1922,1992
63,29161,13919,1442,1992
64,28062,12989,1322,1992
65,27909,13624,1303,1992
66,22841,10496,1021,1992
67,22347,9659,927,1992
68,20670,9320,844,1992
69,17069,7965,738,1992
70,20013,9884,866,1992
71,15330,6966,612,1992
72,19979,8392,712,1992
73,16248,6702,581,1992
74,15812,6568,574,1992
75,15240,6779,601,1992
76,14387,6038,533,1992
77,12459,4965,469,1992
78,13690,5506,528,1992
79,10014,4344,429,1992
80,12484,5837,571,1992
81,7878,3381,332,1992
82,9540,3705,394,1992
83,6608,2674,272,1992
84,6417,2537,234,1992
85,5573,2307,220,1992
86,5442,2001,187,1992
87,4447,1646,159,1992
88,3444,1296,128,1992
89,2827,1079,145,1992
90,2441,960,93,1992
91,1798,797,75,1992
92,1949,804,91,1992
93,1005,502,40,1992
94,804,446,34,1992
95,674,320,30,1992
96,653,276,33,1992
97,508,220,20,1992
98,480,210,14,1992
99,1772,764,63,1992
100,NA,NA,NA,1992
101,NA,NA,NA,1992
102,NA,NA,NA,1992
103,NA,NA,NA,1992
104,NA,NA,NA,1992
105,NA,NA,NA,1992
106,NA,NA,NA,1992
107,NA,NA,NA,1992
108,NA,NA,NA,1992
109,NA,NA,NA,1992
110,NA,NA,NA,1992
