"Edad","esc_bajo","esc_medio","esc_alto","year"
25,40619,152203,49058,1992
26,45565,151781,46811,1992
27,46963,156356,47130,1992
28,47165,152826,45565,1992
29,46370,151138,44388,1992
30,50883,154801,43986,1992
31,42861,137112,39335,1992
32,49631,146215,38803,1992
33,46839,139158,37192,1992
34,43418,125313,35362,1992
35,47141,119553,34043,1992
36,50390,111106,32473,1992
37,51167,101773,31165,1992
38,55473,101200,27292,1992
39,54391,88718,25276,1992
40,58419,81865,25541,1992
41,52332,69047,22315,1992
42,72236,79941,23443,1992
43,62285,67378,18030,1992
44,59102,60453,16081,1992
45,58978,55683,14487,1992
46,64104,58051,13825,1992
47,64224,56506,12691,1992
48,64620,53500,11503,1992
49,59949,48845,10157,1992
50,63073,49108,10082,1992
51,54416,41462,8187,1992
52,68506,47049,8842,1992
53,55473,36825,6740,1992
54,55717,35250,6317,1992
55,53109,31744,6018,1992
56,53800,32132,5641,1992
57,51110,29706,5092,1992
58,52262,30305,5066,1992
59,50187,28794,4622,1992
60,55004,32156,5213,1992
61,47069,26509,4353,1992
62,59975,31822,4701,1992
63,52789,25500,3711,1992
64,52154,24054,3503,1992
65,52178,24733,3488,1992
66,41373,18870,2703,1992
67,41276,17742,2566,1992
68,37068,16332,2257,1992
69,30910,14361,2055,1992
70,35316,16477,2214,1992
71,28236,12474,1768,1992
72,35418,14388,1894,1992
73,28442,11309,1539,1992
74,27157,11106,1480,1992
75,26300,11034,1584,1992
76,24461,9903,1395,1992
77,21546,8285,1228,1992
78,23175,8727,1266,1992
79,16917,6984,1045,1992
80,20014,9236,1228,1992
81,13331,5438,810,1992
82,15766,5781,847,1992
83,10848,4094,641,1992
84,10385,3938,533,1992
85,8785,3396,489,1992
86,8324,3033,401,1992
87,6855,2384,298,1992
88,5298,1937,276,1992
89,4209,1555,254,1992
90,3576,1347,183,1992
91,2643,1107,149,1992
92,2934,1162,150,1992
93,1438,697,83,1992
94,1136,606,57,1992
95,949,454,55,1992
96,919,385,48,1992
97,691,300,36,1992
98,649,277,23,1992
99,2428,1080,120,1992
100,NA,NA,NA,1992
101,NA,NA,NA,1992
102,NA,NA,NA,1992
103,NA,NA,NA,1992
104,NA,NA,NA,1992
105,NA,NA,NA,1992
106,NA,NA,NA,1992
107,NA,NA,NA,1992
108,NA,NA,NA,1992
109,NA,NA,NA,1992
110,NA,NA,NA,1992
