"Age","lx","dx","qx","Lx","Tx","ex"
25,1e+05,80.0616039011366,0.000800616039011427,99959.9691980494,4862182.96778821,48.6218296778821
26,99919.9383960989,87.291895414397,0.000873618387036621,99876.2924483917,4762222.99859017,47.6603876566851
27,99832.6465006845,95.1672431102343,0.000953267758053229,99785.0628791293,4662346.70614177,46.70162386319
28,99737.4792575742,103.743690585063,0.00104016756145546,99685.6074122817,4562561.64326264,45.7457084059617
29,99633.7355669892,113.081862521591,0.00113497563729869,99577.1946357284,4462876.03585036,44.7928205286424
30,99520.6537044676,123.247283208999,0.00123840910023554,99459.0300628631,4363298.84121463,43.8431489223504
31,99397.4064212586,134.310705858574,0.00135124960191969,99330.2510683293,4263839.81115177,42.8968920283603
32,99263.0957154,146.348450431644,0.00147434904560349,99189.9214901842,4164509.56008344,41.9542583280258
33,99116.7472649684,159.44274692949,0.00160863578889706,99037.0258915036,4065319.63859326,41.0154666166098
34,98957.3045180389,173.682080169048,0.00175512137294922,98870.4634779544,3966282.61270175,40.0807462573795
35,98783.6224378698,189.161530958867,0.00191490781862993,98689.0416723904,3867412.1492238,39.150337412016
36,98594.460906911,205.983107266817,0.00208919553261015,98491.4693532776,3768723.10755141,38.2244912430698
37,98388.4777996441,224.256057403749,0.00227929186850944,98276.3497709423,3670231.63819813,37.3034700838863
38,98164.2217422404,244.097155398442,0.0024866203904655,98042.1731645412,3571955.28842719,36.3875475711144
39,97920.124586842,265.630946573714,0.00271273088851248,97787.3091135551,3473913.11526265,35.4770087346218
40,97654.4936402682,288.989938808721,0.00295931019696118,97509.9986708639,3376125.80614909,34.5721500393601
41,97365.5037014595,314.314722048832,0.00322819386846266,97208.3463404351,3278615.80747823,33.6732793734737
42,97051.1889794107,341.753995261781,0.0035213787574956,96880.3119817798,3181407.46113779,32.7807159767278
43,96709.4349841489,371.464476197492,0.0038410365675116,96523.7027460502,3084527.14915601,31.8947903031548
44,96337.9705079514,403.610664957858,0.00418952841574076,96136.1651754725,2988003.44640996,31.0158438116915
45,95934.3598429936,438.364427499764,0.00456942046850789,95715.1776292437,2891867.28123449,30.1442286785186
46,95495.9954154938,475.904359772016,0.00498350069760933,95258.0432356078,2796152.10360525,29.2803074248241
47,95020.0910557218,516.414887240579,0.00543479680458041,94761.8836121015,2700894.06036964,28.4244524538056
48,94503.6761684812,560.085048137495,0.00592659535422705,94223.6336444124,2606132.17675754,27.5770454909217
49,93943.5911203437,607.106901965992,0.00646246215123144,93640.0376693607,2511908.54311313,26.7384769217021
50,93336.4842183777,657.67349776467,0.00704626388354125,93007.6474694954,2418268.50544377,25.9091450218522
51,92678.810720613,711.976329605008,0.00768219104312102,92322.8225558105,2325260.85797427,25.0894550749463
52,91966.834391008,770.202200099142,0.0083747821179159,91581.7332909585,2232938.03541846,24.2798183737069
53,91196.6321909089,832.529406787915,0.00912894902791066,90780.3674875149,2141356.3021275,23.4806511017297
54,90364.102784121,899.123161769676,0.00995000375223864,89914.5412032361,2050575.93463999,22.6923730935369
55,89464.9796223513,970.130152621685,0.0108436860626,88979.9145460405,1960661.39343675,21.9154064720416
56,88494.8494697296,1045.67215357559,0.0118161922399029,87972.0133929418,1871681.47889071,21.1501741638753
57,87449.177316154,1125.83860131424,0.0128742046050818,86886.2580154969,1783709.46549777,20.3970982945802
58,86323.3387148398,1210.67806121742,0.0140249216404473,85717.9996842311,1696823.20748227,19.6565984673919
59,85112.6606536224,1300.18852926283,0.0152760884136161,84462.5663889909,1611105.20779804,18.9290899312225
60,83812.4721243595,1394.30654424908,0.0166360269409573,83115.318852235,1526642.64140905,18.2149816454983
61,82418.1655801104,1492.89512699105,0.0181136660405278,81671.7180166149,1443527.32255681,17.5146742516819
62,80925.2704531194,1595.73062028669,0.0197185701246572,80127.4051429761,1361855.6045402,16.8285579635984
63,79329.5398328327,1702.48857847828,0.0214609662688811,78478.2955435936,1281728.19939722,16.1570103910617
64,77627.0512543544,1812.72895089739,0.0233517687662483,76720.6867789057,1203249.90385363,15.5003943137172
65,75814.322303457,1925.88092148548,0.0254026002339887,74851.3818427143,1126529.21707472,14.8590554244571
66,73888.4413819716,2041.22790859736,0.0276258081835165,72867.8274276729,1051677.83523201,14.2333200641665
67,71847.2134733742,2157.89339406996,0.0300344757959146,70768.2667763392,978810.007804337,13.6234929718892
68,69689.3200793042,2274.82843643113,0.0326424254655154,68551.9058610887,908041.741027997,13.029855076713
69,67414.4916428731,2390.80192376527,0.0354642134873685,66219.0906809905,839489.835166909,12.452661359728
70,65023.6897191078,2504.39482712023,0.0385151140751751,63771.4923055477,773270.744485918,11.8921388162734
71,62519.2948919876,2613.99990994838,0.0418110907115075,61212.2949370134,709499.252180371,11.348484550348
72,59905.2949820392,2717.82851111307,0.0453687526608111,58546.3807264827,648286.957243357,10.8218640345186
73,57187.4664709262,2813.9261196514,0.0492052943293437,55780.5034111005,589740.576516874,10.3124095699658
