"Ano_fa","tramo_esc_INE","n","proportion"
1991,"alta",2079,0.0277710988218322
1991,"baja",58323,0.779073495231225
1991,"media",13425,0.179329967139537
1991,NA,1035,0.0138254388074056
1992,"alta",2386,0.0322040761236334
1992,"baja",56766,0.766176272101498
1992,"media",14290,0.192873532190579
1992,NA,648,0.00874611958428938
1993,"alta",2481,0.032533011631109
1993,"baja",57895,0.759169169037909
1993,"media",15401,0.201951193926122
1993,NA,484,0.00634662540485963
2001,"alta",3458,0.0422361462264727
2001,"baja",60206,0.735358420969062
2001,"media",18025,0.220158049662282
2001,NA,184,0.00224738314218363
2002,"alta",3234,0.0398870237669433
2002,"baja",59509,0.733963171721408
2002,"media",18121,0.223498069783791
2002,NA,215,0.00265173472785801
2003,"alta",3503,0.0418658571565159
2003,"baja",60101,0.718292857825796
2003,"media",19944,0.23835930777321
2003,NA,124,0.00148197724447844
2016,"alta",6760,0.0649837540614846
2016,"baja",64686,0.621825312902544
2016,"media",32343,0.310912656451272
2016,NA,237,0.00227827658469998
2017,"alta",6809,0.0640015791254653
2017,"baja",65963,0.620022934917472
2017,"media",33467,0.314574952062263
2017,NA,149,0.00140053389480017
2018,"alta",7045,0.0659668901456983
2018,"baja",64158,0.600752837184913
2018,"media",35406,0.331529270759204
2018,NA,187,0.0017510019101839
