"edad","baja","NA","media","alta"
0,11003,98387,0,0
1,34537,85752,0,0
2,58776,64016,0,0
3,89625,30496,0,0
4,111242,10225,0,0
5,113215,8892,0,0
6,122685,3787,0,0
7,122280,3562,0,0
8,120132,3232,0,0
9,117276,3060,0,0
10,114352,3051,0,0
11,113719,3085,0,0
12,112327,2870,0,0
13,113028,3163,0,0
14,117706,2554,0,0
15,36617,3272,82515,0
16,20553,3226,103013,0
17,14420,3356,109162,0
18,11726,3310,113896,0
19,10658,3120,80436,36784
20,10845,3114,70448,50998
21,10806,3265,66529,56055
22,11337,3249,67588,59351
23,11280,3359,66808,61080
24,11756,3314,68112,63412
25,12341,3426,67360,64569
26,12599,3245,69165,66962
27,12738,3405,70248,67450
28,12236,3245,67579,64539
29,12015,3024,64946,61173
30,11937,2962,63173,58735
31,12005,2840,60418,54978
32,12207,2699,58479,53498
33,12751,2545,57241,51022
34,14567,2636,59211,51455
35,16106,2760,61066,50909
36,15993,2525,56369,46813
37,17027,2480,55023,44545
38,17394,2482,52089,41145
39,18073,2330,50910,39569
40,18919,2458,51799,39186
41,21125,2654,53341,38362
42,23191,2518,55023,37844
43,24684,2663,56745,37282
44,25108,2622,55973,35177
45,25511,2662,55140,32877
46,25831,2538,53368,30683
47,26439,2536,52409,27931
48,28074,2816,53194,26760
49,29705,2956,55284,25769
50,31406,3107,54808,24822
51,33049,3150,53826,24153
52,34368,3159,53271,24246
53,34619,3163,51290,23214
54,36270,3201,51632,23098
55,34705,2953,48399,21486
56,34343,3052,46565,20254
57,32679,2973,43815,18993
58,32274,2948,42509,18035
59,31373,2820,41251,17979
60,30537,2951,39896,17181
61,28947,2781,35780,15790
62,27902,2705,32578,14916
63,28542,2745,30212,14813
64,27810,2676,26730,14070
65,26765,2668,24210,13306
66,25896,2733,21769,12232
67,25963,2803,20456,11466
68,24929,2890,19206,10399
69,24357,3106,18541,9564
70,23470,3047,17379,8825
71,22650,3016,15956,7921
72,21457,3158,15004,7347
73,19848,3009,13483,6515
74,19091,3293,12578,5862
75,17822,3093,11347,5172
76,16715,3239,10015,4557
77,15244,3025,9092,4026
78,13498,2835,7551,3437
79,12351,2589,6881,3037
80,11463,2629,6259,2874
81,10264,2425,5485,2598
82,9284,2284,4929,2306
83,8200,2090,4398,1962
84,7596,2005,4141,1804
85,6733,1775,3682,1650
86,6218,1877,3218,1500
87,5108,1603,2753,1251
88,4150,1327,2068,1049
89,3706,1163,1757,881
90,2675,941,1307,721
91,1984,636,992,541
92,1685,668,787,426
93,1192,497,607,316
94,923,417,468,246
95,663,298,324,178
96,497,222,243,138
97,314,165,172,93
98,210,112,121,63
99,168,68,88,51
100,517,252,507,323
