"edad","baja","NA","media","alta"
0,10169,95123,0,0
1,32620,83447,0,0
2,56224,61776,0,0
3,85431,29831,0,0
4,107537,9929,0,0
5,108003,8757,0,0
6,118038,3309,0,0
7,117169,3250,0,0
8,115280,2881,0,0
9,112520,2861,0,0
10,110268,2669,0,0
11,108380,2821,0,0
12,107590,2752,0,0
13,108396,2997,0,0
14,113452,2235,0,0
15,26089,2858,88141,0
16,13677,2837,104634,0
17,9644,3111,108280,0
18,7599,2847,113253,0
19,7233,2637,72662,43131
20,7266,2621,61492,59811
21,7284,2651,57689,65334
22,7827,2693,58888,69181
23,7805,2700,57884,70964
24,8070,2679,58508,73769
25,8238,2707,59136,75664
26,8710,2830,60496,77394
27,8963,2781,61423,77748
28,9038,2542,60529,73708
29,9247,2474,59074,69183
30,9562,2480,57818,65833
31,10253,2358,57175,61570
32,10401,2126,55675,58744
33,11346,2024,55411,55582
34,13114,2199,58693,55914
35,14677,2311,60817,55813
36,14665,2057,56834,50494
37,15816,2132,57011,47381
38,15909,2002,55421,43998
39,17058,2043,54077,41653
40,18109,2100,55418,40988
41,20193,2143,57393,40399
42,21882,2235,59905,40138
43,23367,2343,61312,38958
44,24565,2446,61579,36356
45,25366,2370,60683,34530
46,25984,2448,58689,31895
47,26973,2477,57287,29432
48,29266,2682,58576,28141
49,31569,2830,59604,27478
50,33812,3063,59254,26226
51,35351,3092,58168,25876
52,37343,3238,57910,26014
53,38258,3237,55961,24427
54,39701,3390,56608,24173
55,38611,3248,53485,22219
56,38663,3308,51253,21166
57,37593,3302,48051,19622
58,36316,3358,46865,19085
59,34534,3249,45727,18718
60,34478,3392,43279,18442
61,33676,3188,38990,17210
62,32865,3246,35311,16056
63,33754,3448,33071,15890
64,32815,3399,29890,14953
65,31817,3475,27187,13385
66,30917,3633,25135,12203
67,31123,3670,24246,11029
68,30328,3954,22588,10038
69,29950,3975,21984,9106
70,29533,4235,20461,8495
71,28566,4222,19419,7470
72,27273,4179,18341,6779
73,25657,4187,16968,6079
74,25246,4314,16149,5427
75,24038,4360,14715,4813
76,23223,4444,13531,4317
77,21898,4336,12471,3912
78,19210,4082,10748,3241
79,17968,3908,9838,3010
80,17243,3955,9171,2783
81,16177,3738,8574,2578
82,14966,3524,8019,2224
83,13432,3330,7302,2084
84,13103,3330,6988,1929
85,11898,3089,6386,1706
86,12021,3345,6085,1673
87,10446,2899,5393,1433
88,8667,2531,4564,1158
89,7689,2377,3957,1015
90,5992,1913,3046,801
91,4618,1608,2506,676
92,4051,1596,2081,548
93,3020,1139,1579,437
94,2539,1028,1319,357
95,1778,772,953,257
96,1532,676,751,211
97,963,438,554,136
98,718,327,352,96
99,556,222,293,83
100,1307,617,883,364
