"edad","baja","NA","media","alta"
0,21172,193510,0,0
1,67157,169199,0,0
2,115000,125792,0,0
3,175056,60327,0,0
4,218779,20154,0,0
5,221218,17649,0,0
6,240723,7096,0,0
7,239449,6812,0,0
8,235412,6113,0,0
9,229796,5921,0,0
10,224620,5720,0,0
11,222099,5906,0,0
12,219917,5622,0,0
13,221424,6160,0,0
14,231158,4789,0,0
15,62706,6130,170656,0
16,34230,6063,207647,0
17,24064,6467,217442,0
18,19325,6157,227149,0
19,17891,5757,153098,79915
20,18111,5735,131940,110809
21,18090,5916,124218,121389
22,19164,5942,126476,128532
23,19085,6059,124692,132044
24,19826,5993,126620,137181
25,20579,6133,126496,140233
26,21309,6075,129661,144356
27,21701,6186,131671,145198
28,21274,5787,128108,138247
29,21262,5498,124020,130356
30,21499,5442,120991,124568
31,22258,5198,117593,116548
32,22608,4825,114154,112242
33,24097,4569,112652,106604
34,27681,4835,117904,107369
35,30783,5071,121883,106722
36,30658,4582,113203,97307
37,32843,4612,112034,91926
38,33303,4484,107510,85143
39,35131,4373,104987,81222
40,37028,4558,107217,80174
41,41318,4797,110734,78761
42,45073,4753,114928,77982
43,48051,5006,118057,76240
44,49673,5068,117552,71533
45,50877,5032,115823,67407
46,51815,4986,112057,62578
47,53412,5013,109696,57363
48,57340,5498,111770,54901
49,61274,5786,114888,53247
50,65218,6170,114062,51048
51,68400,6242,111994,50029
52,71711,6397,111181,50260
53,72877,6400,107251,47641
54,75971,6591,108240,47271
55,73316,6201,101884,43705
56,73006,6360,97818,41420
57,70272,6275,91866,38615
58,68590,6306,89374,37120
59,65907,6069,86978,36697
60,65015,6343,83175,35623
61,62623,5969,74770,33000
62,60767,5951,67889,30972
63,62296,6193,63283,30703
64,60625,6075,56620,29023
65,58582,6143,51397,26691
66,56813,6366,46904,24435
67,57086,6473,44702,22495
68,55257,6844,41794,20437
69,54307,7081,40525,18670
70,53003,7282,37840,17320
71,51216,7238,35375,15391
72,48730,7337,33345,14126
73,45505,7196,30451,12594
74,44337,7607,28727,11289
75,41860,7453,26062,9985
76,39938,7683,23546,8874
77,37142,7361,21563,7938
78,32708,6917,18299,6678
79,30319,6497,16719,6047
80,28706,6584,15430,5657
81,26441,6163,14059,5176
82,24250,5808,12948,4530
83,21632,5420,11700,4046
84,20699,5335,11129,3733
85,18631,4864,10068,3356
86,18239,5222,9303,3173
87,15554,4502,8146,2684
88,12817,3858,6632,2207
89,11395,3540,5714,1896
90,8667,2854,4353,1522
91,6602,2244,3498,1217
92,5736,2264,2868,974
93,4212,1636,2186,753
94,3462,1445,1787,603
95,2441,1070,1277,435
96,2029,898,994,349
97,1277,603,726,229
98,928,439,473,159
99,724,290,381,134
100,1824,869,1390,687
