"Ano_fa","tramo_esc","n","proportion"
1991,"alta",2017,0.026942908284577
1991,"baja",59696,0.797413908257861
1991,"media",12114,0.161817744650156
1991,NA,1035,0.0138254388074056
1992,"alta",2318,0.031286273451208
1992,"baja",58253,0.786246457011742
1992,"media",12871,0.17372114995276
1992,NA,648,0.00874611958428938
1993,"alta",2402,0.0314970955009769
1993,"baja",59577,0.781225003606037
1993,"media",13798,0.180931275488126
1993,NA,484,0.00634662540485963
2001,"alta",3314,0.0404773246369377
2001,"baja",62842,0.767554627288606
2001,"media",15533,0.189720664932273
2001,NA,184,0.00224738314218363
2002,"alta",3096,0.0381849800811554
2002,"baja",62519,0.77108745791142
2002,"media",15249,0.188075827279567
2002,NA,215,0.00265173472785801
2003,"alta",3320,0.0396787455779711
2003,"baja",63558,0.759608949230328
2003,"media",16670,0.199230327947222
2003,NA,124,0.00148197724447844
2016,"alta",6658,0.0640032299617403
2016,"baja",70926,0.681810316651606
2016,"media",26205,0.251908176801953
2016,NA,237,0.00227827658469998
2017,"alta",6694,0.0629206301462571
2017,"baja",72609,0.682492386359364
2017,"media",26936,0.253186449599579
2017,NA,149,0.00140053389480017
2018,"alta",6924,0.064833888909697
2018,"baja",71314,0.667759092100828
2018,"media",28371,0.265656017079291
2018,NA,187,0.0017510019101839
